,message,predicted,Cluster_PCA_withfirst177,Medical_conslut,service_support,PriceBooking_inquiry,place_inquiry
27,عندي موهبه الصوت,obj,0,0.003278688524590164,0.0,0.0,0.0
28,منافذ البيع بالاسكندريه,obj,0,0.0,0.0,0.0,0.0
29,المكان فين,obj,0,0.0,0.0,0.0,place_inquiry
30,دول لايصلحو مستشفي المعمورة,obj,0,0.0032679738562091504,0.0,0.0,0.0
31,اخر كلام اجيب التذاكر,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
32,مكان المهرجان فين وحيبقي يوم,obj,0,0.0,0.0,0.0,place_inquiry
33,ينفع المدارس بدات خسارة نفسي احضر,obj,0,0.0,0.0,0.0,0.0
34,طريقة عمل البيتزا,obj,0,0.0,0.0,0.0,0.0
35,اعرف المكان فين بالضبط,obj,0,0.0,0.0,0.0,place_inquiry
36,السعر المقر,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
37,مفيش صوت,obj,0,0.003289473684210526,0.0,0.0,0.0
38,فين الصوت,obj,0,0.0,0.0,0.0,place_inquiry
39,اقدر اشوف المحاضرات ازاي فندم,obj,0,0.0,0.0,0.0,0.0
40,التفاصيل رجاءا,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
41,دكتور يثم,obj,0,0.0,0.0,0.0,0.0
42,التفاصيل,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
43,تفاصيل,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
44,اعرف الشروط واذا لابد دراسة معينة بالضبط التفاصيل لوسمحت,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
45,تفاصيل,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
46,تفصيل,obj,0,0.0,0.0,0.0,0.0
47,مازيد التفاصيل,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
48,مين تحب تبدا مشروعها الخاص براس مال ج وربحك يوصل ج شهريا اكتبي وهبعتلك التفاصيل كلمني خاص,obj,0,0.0031446540880503146,0.0,PriceBooking_inquiry,0.0
49,اعملي نقطة اكتوبر واحصلي فوط فورما هدية مجانية بريمور الخامة قطن المقاس وده سعرها داخل الكتالوج هدايا النقاط وهدايا التنشيط الاسبوعي استني ريحة فين لسة مكفاة المستوي متحسبيهاش لان انتي بريمور كسبانة انتي لسة تبقي عضوة جديدة ليكي هدايا ومفاجات واكبر انتي كلميني خاص علقي بتم واقولك باقي المفاجات,obj,0,0.0,0.0,0.009009009009009009,0.010752688172043012
50,عرض الاعضاء الجدد اعضاء الشركة زعلانين للجداد بريمور بتحب تكرم اعضاءها الجداد وتحفزهم باحلي منتجات العرض ميتفوتش اشتري اله التحضير المطبخية وظيفة واحصلي الهدايا زائد هدايا النقاط وهدايا التنشيط الاسبوعية وهدية العضو الجديد مستنين لعمل العضوية ابعتيلي عالخاص اسمك وعنوانك ورقم تلفونك ورقم بطاقتك ومتضعيش الفرصة,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
51,اعملي نقطه وخودي الهدايا زبدة الشيا شوفان بالبندق والشيكولاته شوفان حبيبات كبيره برفان حريمي رجالي,obj,0,0.0,0.0,0.0,0.0
52,جماعه توليب ومفيش مؤتمر,obj,0,0.0,0.0,0.0,0.0
53,عاوز اشترك,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
54,التسجيل,obj,0,0.0,service_support,0.0,0.0
55,عندي غيروا بالرقبة بالناحية الشمال يشتد عليابيبدا الكتف الايسر باقي الذراع بيشتد الالام فيهما لدرجة اتمني اجيب ايد هون اضرب بيه الذراع كله ماهو العلاج,obj,0,Medical_conslut,0.0,0.0,0.0
56,بيجيلي الم فظيع الكتف جاي الخلف للامام وكنت عامله اربع سنوات تسليك اوتار كف ايدي الم فظيع الرقبه,obj,0,Medical_conslut,0.0,0.0,0.0
57,التسجيل عايز اعرف تفاصيل,obj,0,0.0,service_support,PriceBooking_inquiry,0.0
58,اتمني اسجل مقعدي معكم,obj,0,0.0,0.0,0.0,0.0
59,اية دة,obj,0,0.003289473684210526,0.0,0.0,0.0
60,المحاضرون للكورس وبرنامج الاداء للايام الثلاثة,obj,0,0.0,0.0,0.0,0.0
61,تعاقد شركات تامين,obj,0,0.0,service_support,0.0,0.0
62,عنوان فين,obj,0,0.0,0.0,0.0,place_inquiry
63,المهم العمليه بكام تثبيت فقرات وتوسيع قناه عصبيه,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
64,ازاحة الفقرة الرابعة والخامسة وضاغط العصب ما العلاج,obj,0,Medical_conslut,0.0,0.0,0.0
65,عندي اعوجاج بالعامود الفقري عمليه ماشيه بالحزام وعضلات بطني الم الحزام,obj,0,Medical_conslut,0.0,0.0,0.0
66,ارجو تواصل ضروري,obj,0,0.0,0.0,0.0,0.0
67,دكتور ضغط واوزنه وطلول ومتعقده اكزه ينفع اعمل العمليات التكميم جزاء شكرا,obj,0,Medical_conslut,0.0,0.0,0.0
68,الدكتور حقيقي اعتذر الزيارة وما جاي فعلا اعتذر يجي امتي,obj,0,0.0,0.0,0.0,0.0
69,كشف كام وطريق الحجاز,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
70,عندي غضروف الرابعة والخامسة القطتية والخامسة والاولي العجزية عايز اعرف تكلفة العملية كام فرع امعادي,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,place_inquiry
71,الدكتور يعمل عمليات,obj,0,0.003278688524590164,0.0,0.0,0.0
72,تعاقد شركه انربك,obj,0,0.0,service_support,0.0,0.0
73,تعاقد طبي والشركات المتعاقده,obj,0,0.0,service_support,0.0,0.0
74,ما طريقه الحجز,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
75,دكتور عندي ورم اخر فقرة العمود الفقري العصصعوص ضغط اعصاب الحوض الم رجلي التنميل ينفع عمليه,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
76,مستشفي القاهره ما يقوم بالزياره الاسكندريه,obj,0,0.003246753246753247,0.0,0.0,place_inquiry
77,بكام عمليه الانزلاق ويستعمل جراحه طريقه تانيه,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
78,الكشف فضلك ضروري جدا,obj,0,0.0,0.0,0.0,place_inquiry
79,تعاقد طبي الاهلي للخدمات الطبية,obj,0,0.0,service_support,0.0,0.0
80,لدي حجز لعملية حقن هشام السنجابي شهر سبتمبر وتم تاجيلها لشهر ديسمبر اتصال وترتيب حسام المساعد رجاء تحديد ميعاد جديد لعملية حقن الغضروف وشكرا,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
81,عايزين نحجز فضلكم,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
82,ازنكم عملت عمليه كسر الحوض ومركب شارحتين المفصل ومسامير عندي استفسار يجاوبني,obj,0,Medical_conslut,0.0,0.0,0.0
83,قريب خبير مخ واعصاب اطفال وشكرا,obj,0,Medical_conslut,0.0,0.0,0.0
84,ورحمة وبركاته اسال سوال ارسل صورة الاشعة واعرف الراي الطبي اذا امكن وشكر,obj,0,0.0,0.0,0.0,0.0
85,عايز احجز,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
86,سلام دكتور حضرتك عندي قطع الحبل الشكوي وعملت تثبيت فقرات ثلاثه سنوات قمت بنزع المسامير فتره تقريبا ركبت مسمار وشريحتان ظهري مكنش معدول واثناء العمليه اتضح مفيش قطع وجد جزء ميت النخاع المهم عندي شلل نصفي وارجو الافاده وشكرا لحضرتك,obj,0,Medical_conslut,0.0,0.0,0.0
87,عايز احجز الدكتور,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
88,عندي دوخه وعدم اتزان والده بتاجي النظر الاعله الاسفل افدني الرد,obj,0,0.003194888178913738,0.0,0.0,0.0
89,عندي الغضروف ودكتور طلب مني اعمل عمليه حته لا يحدث سقوط فالقدم,obj,0,Medical_conslut,0.0,0.0,0.0
90,خشونة الرقبة وشد عضل وعند دوخة وعدم اتزان,obj,0,Medical_conslut,0.0,0.0,0.0
91,الخشونة وشد العضل يعمل كدة,obj,0,0.0,0.0,0.0,0.0
92,عندي دوخا ودوار باستمرار والم الرقبه ما بيجي دوار راسي,obj,0,Medical_conslut,0.0,0.0,0.0
93,عندي اربع غضاريف بالرقبة يضغطون النخاع الشوكي ومطلوب اعمل عملية الطبيب الالماني يقوم باجراء العملية,obj,0,Medical_conslut,0.0,0.0,0.0
94,اناعندي الم شديد الرقبهوخصوصنا شيلت كيلو جرام ايدي يبقي عندي حرقان عضمه القبه والام شديده افيدوني افادكم,obj,0,Medical_conslut,0.0,0.0,0.0
95,عندي خشونة والم بالزراعة والكتف,obj,0,Medical_conslut,0.0,0.0,0.0
96,عايزة اتاكد الحجز ازاي,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
97,اعرف المكان بالضبط فين,obj,0,0.0,0.0,0.0,place_inquiry
98,المكان والميعاد ارجو الرد,obj,0,0.0,0.0,0.0,place_inquiry
99,عمل منظار ورم بالغدد اللمفاوية البطن عمله ضغط المفصل الشمال مسببة عرق النساء الفخذ الايسر والاشعاع الحراري,obj,0,Medical_conslut,0.0,0.0,0.0
100,فين عنوان مستشفي وهل دكتور اعصاب قريبا,obj,0,0.003236245954692557,0.0,0.0,place_inquiry
101,فضلك عندي وجع وتكسير اصبع ايدي الكبير,obj,0,Medical_conslut,0.0,0.0,place_inquiry
102,التهاب اعصاب طرفيه فقره عنقيه ضاغطه الاعصاب,obj,0,Medical_conslut,0.0,0.0,0.0
103,مكان المشفي,obj,0,0.0,0.0,0.0,place_inquiry
104,التهاب اعصاب طرفيه نهاية العمود الفقري ضاغطه الاعصاب,obj,0,Medical_conslut,0.0,0.0,0.0
105,اعرف التهاب الاعصاب الطرفيه الناتجه السكر,obj,0,Medical_conslut,0.0,0.0,0.0
106,اعرف مواعيد المتاحة لخبراء العمود الفقري,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
107,المكان والتفاصيل,obj,0,0.0,0.0,0.0,place_inquiry
108,يوجد علاج مراض ضمور العضلات الدشين الطفرة,obj,0,0.003236245954692557,0.0,PriceBooking_inquiry,0.0
109,كشف دكتور العرض دكتور احمد الجمال يتم معاه المتابعة,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
110,الكشف بكام يوجد انتفاخ تحت وكاني حازم استك جامد ومعلم بسيط ما الشئ الانتفاخ مابين الكوع والكتف اختصاصه,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
111,حجزت,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
112,العنوان رقم ت,obj,0,0.0,0.0,PriceBooking_inquiry,place_inquiry
113,حابه احجز الدكتور رقم,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
114,عملية الاصابع الملتصقة للاطفال حديثي الولادة,obj,0,0.003246753246753247,0.0,0.0,0.0
115,الكشف بكام العنوان المشكله قطع الاوتار اعلي الذراع,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,place_inquiry
116,ورم الكوع الزراع الايمن يكلف كام ولوسمحت الرد بسرعه,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
117,طب والقدم,obj,0,0.003289473684210526,0.0,0.0,0.0
118,لوسامحة دكتور عمل عمليه جراحيه يدي اليسره وهي كسر لرسغ الزورقيه وبحس بتنمل اجراء العملية,obj,0,Medical_conslut,0.0,0.0,0.0
119,المستشفاء متعاقده شركة اليكو,obj,0,0.0,service_support,0.0,0.0
120,العنوان وتكلفة عملية الغدة الكظرية الرد بسرعة,obj,0,Medical_conslut,0.0,0.0,place_inquiry
121,ويا تري ايام اكتوبر ومثلهم نوفمبر يقدر الخبير يعمل انتم كاتبينه بيشوف عياده خارجيه بيعمل عمليات ترودوا,obj,0,0.003134796238244514,0.0,0.0,0.0
122,حجز للشركات,obj,0,0.0,service_support,PriceBooking_inquiry,0.0
123,اعرف خبراء القلب يكونوا موجودين امتي وازاي احجز العنوان,obj,0,0.003215434083601286,0.0,PriceBooking_inquiry,place_inquiry
124,متي خبير جراحه مخ واعصاب المانيا لجراحه العصب الخامس متلامس شريان,obj,0,Medical_conslut,0.0,0.0,0.0
125,اين يوجد مكانكم,obj,0,0.0,0.0,0.0,place_inquiry
126,احب اعرف يوجد تخصص سكر اطفال اقل سنين,obj,0,Medical_conslut,0.0,0.0,0.0
127,عندي حساسية صدر وعايشة الموسوعات ومع النفس ضعيف جدا ومخنوقة طول عندك ليا علاج,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
128,مركب مفصل صناعي كامل بالفخذ والمفصل مكسور الحوض اتغير ثلاث مرات حل عندكم ت,obj,0,Medical_conslut,service_support,0.0,0.0
129,التفاصيل,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
130,تفاصيل,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
131,ايوه واحساس ببروده شديدة والم بالاطراف,obj,0,Medical_conslut,0.0,0.0,0.0
132,دكتوره بنتي عندها الدوره بتيجي تقعد خمس ايام سبع ايام وبعدين تقف وبعدين تنزل ثاني ارجو الرد,obj,0,Medical_conslut,0.0,0.0,0.0
133,سؤالي بطانة الرحم المهاجره وطريقة علاجها لاني جربت,obj,0,0.0032258064516129032,0.0,0.0,0.0
134,اذنك راي حضرتك عندي الام فالبول بحرقان اثناء البريوت وبيستمر البريورت ما تخلص لمده عشر ايام البريوت ايام بيقعد يوم العلم عملت تحليل بول ومزرعه وطلع مفيش,obj,0,Medical_conslut,0.0,0.0,0.0
135,متكسروش بخاطري وتساعدوني ضيق عليا ديون وايجار بيت ما قادرة ادفعه ارجوكم ساعدوني,obj,0,0.0,0.0,0.0,0.0
136,المكان,obj,0,0.0,0.0,0.0,place_inquiry
137,تيبس مفصل الركبه وتركيب مفصل صناعي معين برجاء الرد وشكرا,obj,0,Medical_conslut,0.0,0.0,0.0
138,ورم حميد خارج الرحم كبير ما الدكاتره قالوا الست تعيش بيه اجراء جراحه وخصوصا الحمد لله ما نزيف بتدور الحمل ولما عملت الاشاعه ظهر وكانوا عايزين يشيلوه بالمنظار وقالوا احتمال كبير يحصل مضاعفات العمليه فنشيل الرحم,obj,0,Medical_conslut,0.0,0.0,0.0
139,عباره البطانه المهاجره اعرف اعراضها,obj,0,0.0,0.0,0.0,0.0
140,عباره العلاج,obj,0,0.003289473684210526,0.0,0.0,0.0
141,عندي تكيسات المبيض عوزة اعرف اذا متخصص كدا وكلام الكشف والاشعة,obj,0,0.003194888178913738,0.0,0.0,0.0
142,عايزه التفاصيل,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
143,عايزة اعرف مواعيد كشف الباطن امتا,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
144,مكان رقم الفون,obj,0,0.0,0.0,PriceBooking_inquiry,place_inquiry
145,منظار فصل للانبيب,obj,0,0.003278688524590164,0.0,0.0,0.0
146,برجاء ارسال رقم التواصل خارج مصر,obj,0,0.003246753246753247,0.0,PriceBooking_inquiry,place_inquiry
147,البرنامج وتكلفتها,obj,0,0.0,0.0,0.0,0.0
148,تفاصيل,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
149,اتواصل دكتور باطنه وسكر,obj,0,0.0032679738562091504,0.0,PriceBooking_inquiry,0.0
150,بالنسبة لضعف العضلات مستوي العمود الفقري ونقص فيتامين علاج حضرتك,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
151,اعرف بكام عملية كسر الترقوة,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
152,دكتور لوسمحت عمليه تسليك وتر اصبع اليد تتكلف كام بنج كلي,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
153,الدكتور يقوم باجراء عمليات غضاريف,obj,0,0.003257328990228013,0.0,0.0,0.0
154,عندي غضريف الغنم والوسط واخر العمود الفقري والدكتور قال مليش عمليه علاجي عندك بكام التكلفه الكشف,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
155,برجاء التواصل,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
156,دكتور لوسمحت عايزك تشفلي الاشعة بتاعتي يوجد علاج عندك فكره بقالي ست شهور واكتر باخد علاج وما سفت خالص والدكتور بقلي لازم عملية ما علاج اعرف تكليف العملية لوسمحت,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
157,عندي انزلاق غضروف الفقرتين الرابعة والخامسة وعرق النسا عايز اعرف تكلفة العملية تقريبا,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
158,الركب تعباني سنين وخاصة الشمال اللتوت خفيف اسبوعين ولم استطيع الحركة ورمت فش شوي مطلوب اشعة ما عارفة اروح مكان اية العمل,obj,0,Medical_conslut,0.0,0.0,place_inquiry
159,عندي مشاكل مفصل الحوض شديدة,obj,0,Medical_conslut,0.0,0.0,0.0
160,وهل الكشف يخضع لتعاقدات شركة مياة الشرب,obj,0,0.0,service_support,0.0,0.0
161,كشف الدكتور خاضع لتعاقدات مصر للتامين,obj,0,0.0,service_support,0.0,place_inquiry
162,دكتور عندي الفقرة العلاج بدون جراحة,obj,0,Medical_conslut,0.0,0.0,0.0
163,بكام عمليه توسيع ضيق قناه النخاع الشوكي,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
164,عايزه احجز دكتور اسلام السيد,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
165,تكلفة عملية غضروف الفقرة الرابعة والخامسة,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
166,الجور رقم اةاتف,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
167,تعاقد الكهرباء,obj,0,0.0,service_support,0.0,0.0
168,فين المكان,obj,0,0.0,0.0,0.0,place_inquiry
169,اعرف كيفيه علاج تثبيت الفقرات القطنيه وايضا الكسور,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
170,الدكتور طلب مني عملية تسليك اعصاب ايدي الاتنين عاوزة اعرف ية العملية فترة تاثيرها بيروح والاعراض بترجع,obj,0,Medical_conslut,0.0,0.0,0.0
171,عندي كسر بالقطنيه الاولي والظهريه وعوجاج بالعمود الفقري وجسمي لايقبل الشرايح والمسامير اثر حادث قديم فهل علاج,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
172,دكتور جلدية الاطباء الزائرين لحالة صدفية بالاظافر وده رقمي ولكم جزيل الشكر والاحترام,obj,0,0.0,0.0,0.0,0.0
173,حجز الخبير الالماني وارسلت الاسم رساله,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
174,المفروض سجلت بياناتي احجز ما عارفة اتحجز لا,obj,0,0.0032258064516129032,0.0,PriceBooking_inquiry,0.0
175,مستشفي زباله,obj,0,0.003289473684210526,0.0,0.0,0.0
176,دلوقت دكتور عندي بعاني رقبتي بتوجعني وبعدين ذراعي كتفي بذراعي احد كوعي دلوقتي عملت اشعه رنين العلاج بتاع الرقبه عندي ثلاث غضاريف تعبانين باخذ العلاج ما فيش شاي يتحسن اكثر تعباني دلوقتي كتفي بذراعي تحركوا صعب جدا حركته ارفعه فوق صعب احرقوا مثلا يجيب ما قادره باستمرار اجنبي وحطها شياله ما راضيه تعمل ما عارفه اعمل عيد حضرتك تفيدني شكرا,obj,0,Medical_conslut,0.0,0.0,0.0
177,عندي شرخ الغضروف الدرجة الثالثة ركبتي اليمين الكلام دة الحمد للة تحسن خلال السنة وما عاوز اعمل كشط للغضروف اية الحل الكشط,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
178,دكتور اسفه ينفع هشاشه عمليه تغير مفصل غلط,obj,0,Medical_conslut,0.0,0.0,0.0
179,عندي بداية خشونة الركبتين وعندي,obj,0,Medical_conslut,0.0,0.0,0.0
180,عندي وجع الركبتين عندي بداية خشونة,obj,0,Medical_conslut,0.0,0.0,0.0
181,وزني وسني,obj,0,0.003289473684210526,0.0,0.0,0.0
182,دكتور سني وعندي مشاكل الركبتين خشونه الدرجه التانيه والركبه الشمال حصل قطع الغضروف وقرح داخل العضم وعملت رنين والدكتور قالي لازم عمليه لحم الغضروف وتنظيف القرح وحقن الركبتين ارجو الافاده مفيش حل العمليه,obj,0,Medical_conslut,0.0,0.0,0.0
183,كتفي وجعني سنوات وعملت رنين واخذت علاج مفيش فايدة اقل مجهود بتعب جدا وركبتي تعباني حولي سنوات والدكور بيقولي حشونة وهحقنها لمابطل رضاعة ومبعرفش اسجد خالص,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
184,عندي المدام مشكله فقرات الرقبة الكتف والكوع عملت اشعه رنين واخذت العلاج ولم تتحسن ارجو الرد,obj,0,Medical_conslut,0.0,0.0,0.0
185,دكتور عندي الركبه الشمال الم شديد وما قدر اتحرك فتره وقعت ركبتيه الاتنين عايزه اعرف اكشف عظام مخ واعصاب لاني عندي غضروف عنقي وقطني وفي تجمعت دموية الغضروف الظهر,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
186,الواقعه شهر,obj,0,0.0,0.0,0.0,0.0
187,وفي الم شديد جدا يومين الركبة الشمال الركبه الارداف وحسه عروق ركبه,obj,0,Medical_conslut,0.0,0.0,0.0
188,تغرضت لشيل الاشياء غلط بوضع يدي مرفوعة لاعلي وخلف الظهر ترتب الم الذراع وعملت رنين قال التهاب الاربطة واخدت علاج علاج طبيعي الكلام سنوات تقريبا بقالي اكث شهور الم شديد الكتف لدرجة ما قادر ارفع يدي لاعلي للخلف بطريق جيدة عملت رنين قال التهاب شديد بمفصل الكتف وخشونة اخدت علاج ودون جدوي اسمي طارق عزام عام,obj,0,Medical_conslut,0.0,0.008849557522123894,0.0
189,دكتور فضلك علاج هشاشه العظام لمريضه الروماتويد وف حاليا تاكل مفصل ركبه الايسر,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,place_inquiry
190,دكتور فضلك ماما وزنها كيلو عندها روماتويد وعندها تاكل مفصل ركبه ظهر هشاشه سالب الحل,obj,0,Medical_conslut,0.0,0.0,place_inquiry
191,دكتور دايمن عندي حرقان البول اخذ,obj,0,Medical_conslut,0.0,0.0,0.0
192,دكتور عندي حرقان البول فتره كبيره روحت لكذا دكتور ومازال الخرفان موجود فتره يجي حضرتك تقولي اعمل,obj,0,Medical_conslut,0.0,0.0,0.0
193,دكتور مركبه اللولب,obj,0,0.0,0.0,0.0,0.0
194,دكتور ديما عندي حرقان وافرزات بر ة جوة اعمل اه,obj,0,Medical_conslut,0.0,0.0,0.0
195,حمل اول الشهر عندي ارتجاع البول الكليه اليمين,obj,0,Medical_conslut,0.0,0.0,0.0
196,دكتور اذن حضرتك عندي اورام ليفيه خارج الرحم وعملت منظار بطني ورحمي وشلتها وحقن صبغه العمليه والانابيب كويسه وبقالي متجوزه وما حصل حمل وبقالي شهور العمليه وما حصل حمل رغم تحاليلي كويسه جدا والزوج ودائما الدوره بيجيلي وجع ضهري وصدري والم وانتفاخ بطني قبلها باسبوع وبدخل الحمام وبرده اخدت تنشيط فيمارا وما بتعمل اعمل بالظبط,obj,0,Medical_conslut,0.0,0.0,0.0
197,التغدد الرحمي وبطانه الرحم مفيش دم السن,obj,0,Medical_conslut,0.0,0.0,0.0
198,السؤال مكنش واضح,obj,0,0.0,0.0,0.0,0.0
199,اللوب الهرموني رفع والبريود نهاءي سليم لغبطه,obj,0,0.0,0.0,0.0,0.0
200,دكتور مركبه وسيله اللولب اعمل اشعه اد علشان اطمن,obj,0,Medical_conslut,0.0,0.0,0.0
201,بنتي متجوزه سنين عندها لوفه جدار الرحم عملت عمليه بالمنظار منسنين حملت العمليه شهرين وسقطت مرتين العمليه مفيش حمل علما بان جسمها مليان عمرها,obj,0,Medical_conslut,0.0,0.0,0.0
202,دكتور عندي مشكلة حرقان البول عشرين وافرزات مبترحش باي علاج واخد علاج ومفيش فايده اعمل,obj,0,Medical_conslut,0.0,PriceBooking_inquiry,0.0
203,دكتور عندي ورم ليفي فوق الرحم وعملت منظار بطني ورحمي وشلته والانابيب كويسه وبقالي متجوزه وعدي العمليه شهور واخدت تنشيط وما حصل حمل اعمل,obj,0,Medical_conslut,0.0,0.0,0.0
204,دكتور بنتي حملت مرتين ويموت شهر وعملت تحليل قالي عندك نسبه هربس وخايفة تحمل يحصل مشكله باخد العلاج بتاع الهربيس وهل زوجها يتعدي وهل الحامل غلط دلوقتي عنده,obj,0,Medical_conslut,0.0,0.0,0.0
205,عندي حرقان البول فتره كبيره ورحت دكتور سؤ نساء دكتور مسالك وعملت تحليل ومزرعة بول واشعات مفيش حل ارجو الرد,obj,0,Medical_conslut,0.0,0.0,0.0
