lexicon,polarity,origin
تستحق,1,KSA
تسر,1,KSA
تسعد,1,KSA
تشجيع,1,KSA
تضرعو,1,KSA
تطور,1,KSA
تطوير,1,KSA
تعتذر,1,KSA
تعزيز,1,KSA
تعلم,1,KSA
تعلموا,1,KSA
تفعيل,1,KSA
تفيد,1,KSA
تقوية,1,KSA
تكاتف,1,KSA
تكاتفكم,1,KSA
تلتزم,1,KSA
تنحل,1,KSA
تنظيم,1,KSA
تنظيمها,1,KSA
تنقذ,1,KSA
تنموية,1,KSA
تنمية,1,KSA
تنويع,1,KSA
تهتم,1,KSA
تهدف,1,KSA
تهم,1,KSA
تهمهم,1,KSA
تهنه,1,KSA
توسع,1,KSA
توطين,1,KSA
توظيف,1,KSA
ثقة,1,KSA
ثقه,1,KSA
جراءة,1,KSA
جليلة,1,KSA
جممال,1,KSA
جميل,1,KSA
جودة,1,KSA
جيد,1,KSA
جيده,1,KSA
حاسمه,1,KSA
حاسمون,1,KSA
حب,1,KSA
حبايبنا,1,KSA
حبك,1,KSA
حبيت,1,KSA
حبيتها,1,KSA
حبينا,1,KSA
حراك,1,KSA
حزم,1,KSA
حفظ,1,KSA
حقق,1,KSA
حكيم,1,KSA
حكيمة,1,KSA
حلو,1,KSA
حلول,1,KSA
حلوه,1,KSA
حمايتنا,1,KSA
حنكة,1,KSA
حنون,1,KSA
حنين,1,KSA
حياتي,1,KSA
خبرة,1,KSA
خبره,1,KSA
خدم,1,KSA
خلق,1,KSA
خير,1,KSA
خيرا,1,KSA
خيرية,1,KSA
دافعوا,1,KSA
در,1,KSA
دعم,1,KSA
دعمها,1,KSA
دعواتنا,1,KSA
دقة,1,KSA
ذكي,1,KSA
ذوق,1,KSA
رائع,1,KSA
راضي,1,KSA
رائعة,1,KSA
رائعه,1,KSA
رجال,1,KSA
رجل,1,KSA
رزقه,1,KSA
رفاهية,1,KSA
رفاهيته,1,KSA
رفع,1,KSA
روعه,1,KSA
رؤية,1,KSA
ريادية,1,KSA
زين,1,KSA
ساندوكم,1,KSA
ساندوه,1,KSA
سترتفع,1,KSA
ستزف,1,KSA
ستنضم,1,KSA
سديد,1,KSA
سعادة,1,KSA
سعاده,1,KSA
سعادهه,1,KSA
سعيدة,1,KSA
سليم,1,KSA
سليمة,1,KSA
سيتاهل,1,KSA
سيرزقني,1,KSA
سيرفع,1,KSA
سيعودون,1,KSA
سينجح,1,KSA
شامخ,1,KSA
شايل,1,KSA
شجاع,1,KSA
شجعوه,1,KSA
شريف,1,KSA
شغال,1,KSA
شغلهم,1,KSA
شفافية,1,KSA
شكر,1,KSA
شكرا,1,KSA
شهامه,1,KSA
شهامة,1,KSA
صادق,1,KSA
صبرنا,1,KSA
صحيح,1,KSA
صد,1,KSA
صدقوني,1,KSA
صريح,1,KSA
ضحكنا,1,KSA
ضمير,1,KSA
ضيافة,1,KSA
طاعته,1,KSA
طاقة,1,KSA
طربان,1,KSA
طمانة,1,KSA
طوروا,1,KSA
طيب,1,KSA
طيبة,1,KSA
طيبه,1,KSA
طيبين,1,KSA
عادل,1,KSA
عاش,1,KSA
عاطفي,1,KSA
عالقوه,1,KSA
عبقرية,1,KSA
عز,1,KSA
عزم,1,KSA
عشق,1,KSA
عشقنا,1,KSA
عظيم,1,KSA
عظيمة,1,KSA
عظيمه,1,KSA
عفيفة,1,KSA
عمار,1,KSA
غنائم,1,KSA
فاصبروا,1,KSA
فالكم,1,KSA
فاهم,1,KSA
فخر,1,KSA
فخرت,1,KSA
فخرنا,1,KSA
فخروهيبة,1,KSA
فخم,1,KSA
فديت,1,KSA
فرحان,1,KSA
فرحة,1,KSA
فرحنا,1,KSA
فرصه,1,KSA
فزعتك,1,KSA
فضله,1,KSA
فوز,1,KSA
قادر,1,KSA
قادرون,1,KSA
قدم,1,KSA
قدها,1,KSA
قدوة,1,KSA
قدوه,1,KSA
قلبي,1,KSA
قوة,1,KSA
قوي,1,KSA
قيمة,1,KSA
كرامة,1,KSA
كرمه,1,KSA
كفاءة,1,KSA
كفو,1,KSA
كلنا,1,KSA
يصلح,1,KSA
لايفوتكم,1,KSA
لتاهيل,1,KSA
لتحقيق,1,KSA
لترسيخ,1,KSA
لتطوين,1,KSA
لتقوية,1,KSA
لتنمية,1,KSA
لدحر,1,KSA
لطرب,1,KSA
لطفك,1,KSA
لطيف,1,KSA
لطيفه,1,KSA
للافضل,1,KSA
للانتماء,1,KSA
للتاهل,1,KSA
للتوحيد,1,KSA
للحب,1,KSA
للحفاظ,1,KSA
للضبط,1,KSA
للمنافسه,1,KSA
للناجحين,1,KSA
للنهوض,1,KSA
لنحقق,1,KSA
لنصرة,1,KSA
لنمو,1,KSA
لينعم,1,KSA
ماقصر,1,KSA
ماقصروا,1,KSA
مامثله,1,KSA
مبادرات,1,KSA
مبدع,1,KSA
مبروك,1,KSA
مبسوطة,1,KSA
مبسوطه,1,KSA
مبسوطين,1,KSA
متابعة,1,KSA
متربية,1,KSA
متطور,1,KSA
متطورة,1,KSA
متعلم,1,KSA
متعنا,1,KSA
متفائل,1,KSA
متفائلين,1,KSA
متكاتفين,1,KSA
متمكن,1,KSA
متوجا,1,KSA
مثمر,1,KSA
محبوب,1,KSA
محتشمات,1,KSA
محتشمة,1,KSA
محنك,1,KSA
مخلصة,1,KSA
مخلصين,1,KSA
مدح,1,KSA
مدحهم,1,KSA
مذهل,1,KSA
مرتب,1,KSA
مرضيه,1,KSA
مركزي,1,KSA
مزز,1,KSA
مزه,1,KSA
مساعدات,1,KSA
مستقبل,1,KSA
مستمرين,1,KSA
مسك,1,KSA
مشرق,1,KSA
معاك,1,KSA
معالم,1,KSA
معكم,1,KSA
مفيد,1,KSA
مقبولة,1,KSA
مكرمة,1,KSA
ملتزمين,1,KSA
ممتازة,1,KSA
ممنون,1,KSA
مناضل,1,KSA
منتج,1,KSA
منصفه,1,KSA
منطقي,1,KSA
مهم,1,KSA
موثوق,1,KSA
موفقين,1,KSA
مؤثر,1,KSA
مؤمن,1,KSA
ناجح,1,KSA
ناجحه,1,KSA
نبارك,1,KSA
نتامل,1,KSA
نتفال,1,KSA
نتكاتف,1,KSA
نجاح,1,KSA
نجاحه,1,KSA
نجح,1,KSA
نجحت,1,KSA
نجي,1,KSA
نحب,1,KSA
نحبكم,1,KSA
نحصد,1,KSA
نخوه,1,KSA
نديه,1,KSA
نستثمر,1,KSA
نستمر,1,KSA
نشكركم,1,KSA
نصحته,1,KSA
نصيحة,1,KSA
نظامي,1,KSA
نعز,1,KSA
نعمة,1,KSA
نفتخر,1,KSA
نفوز,1,KSA
نمو,1,KSA
نهدف,1,KSA
نهنئ,1,KSA
ادف,1,KSA
هدايا,1,KSA
هنيئا,1,KSA
يبة,1,KSA
واثبتو,1,KSA
واثق,1,KSA
واحتراما,1,KSA
واشتغلو,1,KSA
واصلوا,1,KSA
واصلي,1,KSA
واعد,1,KSA
واعي,1,KSA
وافضل,1,KSA
والامتنان,1,KSA
والترحيب,1,KSA
والتقدير,1,KSA
والتكاتف,1,KSA
والتنميه,1,KSA
والدعم,1,KSA
والرقي,1,KSA
والطمانينه,1,KSA
والعز,1,KSA
والفخر,1,KSA
واصلاحها,1,KSA
واجمل,1,KSA
وبالتوفيق,1,KSA
وبالثقه,1,KSA
وتتويجه,1,KSA
وتوبوا,1,KSA
وثقة,1,KSA
وثقه,1,KSA
وجميل,1,KSA
وحفظهم,1,KSA
وساندوه,1,KSA
وشجعوه,1,KSA
وشمرو,1,KSA
وصالح,1,KSA
وفاء,1,KSA
وفخرنا,1,KSA
وفق,1,KSA
وقادر,1,KSA
وقفة,1,KSA
وقوة,1,KSA
مهتمة,1,KSA
ومحنك,1,KSA
ومسرات,1,KSA
ومنفعة,1,KSA
وناسه,1,KSA
ونافعه,1,KSA
ونخوة,1,KSA
وهيبة,1,KSA
ويتعاقد,1,KSA
ويحفظكم,1,KSA
ويرفع,1,KSA
ويستثمر,1,KSA
ويسعدك,1,KSA
ويفرح,1,KSA
يا_قمر,1,KSA
يا_كريم,1,KSA
يا_لبيه,1,KSA
يبسطك,1,KSA
يتاهل,1,KSA
يتباركون,1,KSA
يتخطي,1,KSA
يترزقون,1,KSA
يتعلمون,1,KSA
يتفاعلون,1,KSA
يتكاتف,1,KSA
يتوجهو,1,KSA
يثقون,1,KSA
يثني,1,KSA
يجتمعو,1,KSA
يحب,1,KSA
يحترم,1,KSA
يحترمون,1,KSA
يحفظ,1,KSA
يحفظهم,1,KSA
يحلق,1,KSA
يحمي,1,KSA
يدعو,1,KSA
يديم,1,KSA
يرفع,1,KSA
يستاهل,1,KSA
يستانس,1,KSA
يستحق,1,KSA
يستحقوها,1,KSA
يستفيد,1,KSA
يسدد,1,KSA
يسعد,1,KSA
يسعدك,1,KSA
يسعدكم,1,KSA
يسعدلي,1,KSA
يسعي,1,KSA
يصعد,1,KSA
يعجبك,1,KSA
يعشق,1,KSA
يعود,1,KSA
يفتخر,1,KSA
يفرح,1,KSA
يفرحنا,1,KSA
يفوز,1,KSA
يفيد,1,KSA
يقويكم,1,KSA
يمزح,1,KSA
ينصركم,1,KSA
ينعم,1,KSA
ينفع,1,KSA
يهتم,1,KSA
يهتمون,1,KSA
يهنئون,1,KSA
يوفق,1,KSA
يومك,1,KSA
يؤمن,1,KSA
وخاين,1,KSA
اللصوص,1,KSA
سننتصر,1,KSA
سينتصر,1,KSA
والترابط,1,KSA
شرف,1,KSA
حميه,1,KSA
ابركها_ساعة,1,KSA
ابركها_ساعه,1,KSA
ابسط_حل,1,KSA
اتاحة_الفرصة,1,KSA
اتاحة_الفرصه,1,KSA
اتقوا_الله,1,KSA
اثرنا_قوين,1,KSA
اثلج_قلوبنا,1,KSA
اجازة_سعيدة,1,KSA
احساس_بالفخر,1,KSA
احمي_وطنا,1,KSA
احنا_الاقوي,1,KSA
اخذ_راي,1,KSA
ارضاء_لله,1,KSA
ارفع_راسك,1,KSA
ارفعو_رؤوسكم,1,KSA
اروح_فدوه,1,KSA
استعادة_نفسه,1,KSA
اصحاب_الخبرة,1,KSA
اصل_الانسانيه,1,KSA
اظهر_حقيقتنا,1,KSA
اعادة_تقيم,1,KSA
اعزنا_الله,1,KSA
اعطائه_حقوقه,1,KSA
افني_حياته,1,KSA
الاتحاد_قوه,1,KSA
الامر_بالمعروف,1,KSA
الامور_تسير,1,KSA
الاولوية_للاكفا,1,KSA
التحول_الوطني,1,KSA
التوفيق_حليفك,1,KSA
التوفيق_والسداد,1,KSA
الحافظ_الله,1,KSA
الحلوه_والمره,1,KSA
الحمد_لله,1,KSA
الخدمات_الجيده,1,KSA
الداعم_الاول,1,KSA
الدعم_بيرجع,1,KSA
الدولة_حريصه,1,KSA
الدين_بالقلب,1,KSA
الرابح_الاكبر,1,KSA
الرجل_المناسب,1,KSA
الضمير_الحي,1,KSA
الطريق_الصحيح,1,KSA
العمل_الجاد,1,KSA
العيش_الرغيد,1,KSA
العيش_السليم,1,KSA
الف_مبروك,1,KSA
القادم_اجمل,1,KSA
الله_يجمع,1,KSA
الله_يحفطها,1,KSA
الله_يحفظ,1,KSA
الله_يحفظك,1,KSA
الله_يحفظه,1,KSA
الله_يحفظهم,1,KSA
الله_يخلي,1,KSA
الله_يديم,1,KSA
الله_يرزق,1,KSA
الله_يرزقنا,1,KSA
الله_يرزقهم,1,KSA
الله_يستر,1,KSA
الله_يسعد,1,KSA
الله_يعزهم,1,KSA
الله_يقويكم,1,KSA
الله_يكفينا,1,KSA
الله_يوفقكم,1,KSA
الله_يوفقه,1,KSA
الله_يوفقهم,1,KSA
اللهم_انصرهم,1,KSA
اللهم_وفقهم,1,KSA
اللي_مامثله,1,KSA
المستقبل_افضل,1,KSA
الناس_تترزق,1,KSA
النصر_برجاله,1,KSA
النعمة_العظيمة,1,KSA
النعمه_العظيمة,1,KSA
النفس_الزينة,1,KSA
الهيئه_امان,1,KSA
الوطن_غالي,1,KSA
الي_الامام,1,KSA
امل_فيك,1,KSA
امن_وامان,1,KSA
انا_مع,1,KSA
اسد_السنة,1,KSA
اسد_السنه,1,KSA
انطلاقة_جديدة,1,KSA
باذن_الله,1,KSA
باذن_المولي,1,KSA
باعلي_المعاير,1,KSA
بامال_العافيه,1,KSA
بتاخذونها_برخص,1,KSA
بتثقيف_المجتمع,1,KSA
بحفضك_يا_رب,1,KSA
بردة_قلبي,1,KSA
بكامل_حجابها,1,KSA
بلاد_الحرمين,1,KSA
بناء_مجتمعهم,1,KSA
بنيان_مرصوص,1,KSA
بوجود_العظيم,1,KSA
بيض_الله,1,KSA
تاج_السياسه,1,KSA
تبين_الفتنه,1,KSA
تجارب_الحياه,1,KSA
تجربة_عظيمة,1,KSA
تحالف_اسلامي,1,KSA
تحسين_المعيشه,1,KSA
تحقيق_البطولات,1,KSA
تحقيق_اهداف,1,KSA
ترفع_الراس,1,KSA
تري_بتوازن,1,KSA
تزداد_تنظيم,1,KSA
تشجيع_الكفاءات,1,KSA
تضامنا_ودعمنا,1,KSA
تغيرات_حقيقية,1,KSA
تفعيل_الجوده,1,KSA
تفلحو_بحياتكم,1,KSA
تقدم_الافضل,1,KSA
تقويم_اداء,1,KSA
تكاتفكم_وصمودكم,1,KSA
تكلموا_بالمستقبل,1,KSA
تمكن_الكفاءات,1,KSA
تمكين_الكفاءات,1,KSA
تنبع_الغيره,1,KSA
تنظيف_الشوائب,1,KSA
توظيف_التقنية,1,KSA
توفون_بالوعد,1,KSA
جمع_الشمل,1,KSA
جميل_وروعه,1,KSA
حسن_الخلق,1,KSA
حفظ_الاداب,1,KSA
حقكم_محفوظ,1,KSA
حل_المشكلات,1,KSA
حل_مشكلة,1,KSA
حنا_لك,1,KSA
حول_مستقبل,1,KSA
خدمة_الوطن,1,KSA
خطي_متقدمة,1,KSA
خلق_فرص,1,KSA
خيالة_العوجا,1,KSA
خير_امة,1,KSA
دايم_ممشاكم,1,KSA
دعم_الخزينة,1,KSA
دفاعا_الدين,1,KSA
دمتم_سالمين,1,KSA
دولتنا_عظيمه,1,KSA
ديننا_الدفاع,1,KSA
ذات_علم,1,KSA
ذات_موهبة,1,KSA
ذو_افكارتنموية,1,KSA
راتبك_يكفيك,1,KSA
راح_تنتهي,1,KSA
راية_التوحيد,1,KSA
رايه_سديد,1,KSA
ربي_يحفظ,1,KSA
رجال_حاسمون,1,KSA
رزقك_مكتوب,1,KSA
رفاهية_المواطن,1,KSA
رؤية_خير,1,KSA
زيادة_الانتاج,1,KSA
زيادة_الطاقة,1,KSA
سبيل_الحق,1,KSA
ستزف_للتاهل,1,KSA
ستزيد_قوتها,1,KSA
سداد_الديون,1,KSA
سدد_كلمتهم,1,KSA
سلام_ومحبة,1,KSA
سلم_لي,1,KSA
سلمان_الحزم,1,KSA
سلمه_الله,1,KSA
سواعد_شابة,1,KSA
سوف_يتخطي,1,KSA
سيرفع_كفاءة,1,KSA
سيرفع_مستويا_ت,1,KSA
شامخ_يبة,1,KSA
شدو_حيلكم,1,KSA
شركة_كبيره,1,KSA
شعب_عظيم,1,KSA
شعب_واحد,1,KSA
شكرا_جزيلا,1,KSA
شي_جميل,1,KSA
صادقين_مخلصين,1,KSA
صار_واعي,1,KSA
صباح_الخيرات,1,KSA
صباح_التيسير,1,KSA
صباح_الخير,1,KSA
صدقة_جارية,1,KSA
صف_واحد,1,KSA
صفا_واحدا,1,KSA
صمام_الامان,1,KSA
صمام_الامن,1,KSA
صمام_امان,1,KSA
طوق_نجاة,1,KSA
عالية_المستوي,1,KSA
عدم_الاستعجال,1,KSA
عدم_اهانته,1,KSA
عرض_مميزة,1,KSA
عرفت_قيمة,1,KSA
عز_الاسلام,1,KSA
عز_وفخر,1,KSA
عزة_وكرامة,1,KSA
عشان_الوطن,1,KSA
عمار_يا_وطن,1,KSA
عمل_كبير,1,KSA
عميد_الدبلوماسيه,1,KSA
عونا_له,1,KSA
غير_نظرتهم,1,KSA
فال_خير,1,KSA
فاله_الفوز,1,KSA
فالوقت_المناسب,1,KSA
فتح_قريب,1,KSA
فخذ_بيدهم,1,KSA
فخر_الامة,1,KSA
فعالية_الانظمة,1,KSA
فلا_تياس,1,KSA
في_المقدمه,1,KSA
في_قلوب,1,KSA
فيه_الصالح,1,KSA
فيها_خير,1,KSA
قام_سيدا,1,KSA
قدم_الكثير,1,KSA
قرار_شجاع,1,KSA
قرار_ينص,1,KSA
قرب_السنة,1,KSA
قلبا_وقالبا,1,KSA
قلوب_تتالف,1,KSA
قلوبنا_معك,1,KSA
قول_وفعل,1,KSA
قيادة_حكيمة,1,KSA
كافي_وافي,1,KSA
كلنا_ثقة,1,KSA
كلنا_جنود,1,KSA
كلنا_مع,1,KSA
كلنا_معاك,1,KSA
كله_حق,1,KSA
لا_تخلون,1,KSA
لا_تفضح,1,KSA
لا_عدمناك,1,KSA
يخاف_الله,1,KSA
لا_ينكسر,1,KSA
لاجل_صحتنا,1,KSA
لاجل_وطننا,1,KSA
لاعادة_يكلة,1,KSA
لتحقيق_رؤية,1,KSA
لترسيخ_مكانة,1,KSA
لتنمية_مستدامة,1,KSA
لرفع_الحرج,1,KSA
لضمان_جودة,1,KSA
لله_يرزق,1,KSA
للوعد_بالوفاء,1,KSA
لن_يخذلكم,1,KSA
لنمو_المجتمع,1,KSA
لهم_منافع,1,KSA
لوجه_الله,1,KSA
ماخذ_قلبي,1,KSA
مالنا_غنا,1,KSA
متعلم_ومحترم,1,KSA
متقيدين_بالنظام,1,KSA
متمسكة_بحجابها,1,KSA
محاربة_الفساد,1,KSA
مراح_اندم,1,KSA
مرضيه_جدا,1,KSA
مرفق_ام,1,KSA
مستقبل_مشرق,1,KSA
مصلحة_البلاد,1,KSA
مصلحة_تقتضي,1,KSA
مكامن_قوتنا,1,KSA
ملاني_الفخر,1,KSA
من_افضل,1,KSA
مني_الكثير,1,KSA
مهب_شينه,1,KSA
مولدا_جديدا,1,KSA
مؤشرا_لروعة,1,KSA
ناس_كبيرة,1,KSA
نبقي_اخوه,1,KSA
نتائج_رائعة,1,KSA
نتفائل_بالخير,1,KSA
نحسن_الظن,1,KSA
نحمد_الله,1,KSA
نحن_معكم,1,KSA
نحن_نملك,1,KSA
نخدم_البلد,1,KSA
نرضي_فيه,1,KSA
نسائنا_محاربات,1,KSA
نشاهد_احتفالات,1,KSA
نشد_علي,1,KSA
نصرك_وتوفيقك,1,KSA
نصنع_المستقبل,1,KSA
نصنع_مستقبل,1,KSA
نظف_مخك,1,KSA
نعيش_بسلام,1,KSA
ترجع_ترجع,1,KSA
و_الافضل,1,KSA
و_النعم,1,KSA
واثق_فيكم,1,KSA
واجساد_تتوحد,1,KSA
واحافظ_اكثر,1,KSA
والشعب_المسالم,1,KSA
والفضل_لله,1,KSA
والله_امان,1,KSA
وامبراطور_السياسة,1,KSA
وباسعار_تنافسية,1,KSA
وتدعم_الاداره,1,KSA
وتطوير_البلد,1,KSA
وراي_ثابت,1,KSA
وسداد_الراي,1,KSA
وطن_قوي,1,KSA
وفرج_همك,1,KSA
ولله_الحمد,1,KSA
ومستقبل_واعد,1,KSA
وممتن_له,1,KSA
ونحسن_الظن,1,KSA
ويخدم_الوطن,1,KSA
ويسر_امرك,1,KSA
يا_ذخر_الامه,1,KSA
يبشر_بخير,1,KSA
يبيض_الوجه,1,KSA
يتحقق_الفوز,1,KSA
يتكلل_ابداعه,1,KSA
يتم_تخفيض,1,KSA
يثقون_بك,1,KSA
يحالف_الحظ,1,KSA
يحب_الحياة,1,KSA
يحسون_بالجمهور,1,KSA
يحفظ_السعوديه,1,KSA
يحفظ_بلادنا,1,KSA
يحقق_اهداف,1,KSA
يحلها_الحلال,1,KSA
يحملون_الشهادات,1,KSA
يخاف_علي,1,KSA
يدا_بيد,1,KSA
يستحق_الشكر,1,KSA
يصلح_حال,1,KSA
يضمون_حقها,1,KSA
يقيمون_الصلاة,1,KSA
يكثف_التركيز,1,KSA
يلتزمون_الدين,1,KSA
يهدي_الجميع,1,KSA
يوزعو_الافطار,1,KSA
يوفق_الجميع,1,KSA
يسر_امورهم,1,KSA
الله_لهم,1,KSA
الله_يعوض,1,KSA
بذلوا_الغالي,1,KSA
حفظا_لحقوق,1,KSA
شكر_الله,1,KSA
كثر_الله,1,KSA
والله_يكثر,1,KSA
من_صالحنا,1,KSA
امححق,-1,KSA
ابادة,-1,KSA
ابتدع,-1,KSA
ابتدعو,-1,KSA
ابتزاز,-1,KSA
ابتلشنا,-1,KSA
ابثرتونا,-1,KSA
ابثرو,-1,KSA
ابثروا,-1,KSA
ابثرونا,-1,KSA
ابرك,-1,KSA
ابشع,-1,KSA
ابعاد,-1,KSA
ابكتني,-1,KSA
ابلشتوا,-1,KSA
ابلشتونا,-1,KSA
ابلشونا,-1,KSA
ابليس,-1,KSA
ابوكلب,-1,KSA
اتسكع,-1,KSA
اتعب,-1,KSA
اتفل,-1,KSA
اتفه,-1,KSA
اتفو,-1,KSA
اتهامنا,-1,KSA
اتهزق,-1,KSA
اتهموا,-1,KSA
اتهموهم,-1,KSA
اتوسل,-1,KSA
اجبن,-1,KSA
اججللددهم,-1,KSA
اججلدهم,-1,KSA
اججللدههم,-1,KSA
اجحد,-1,KSA
اجلد,-1,KSA
اجلدد,-1,KSA
اجلددهم,-1,KSA
اجلدهم,-1,KSA
اجلدو,-1,KSA
اجللد,-1,KSA
اجهل,-1,KSA
احتقار,-1,KSA
احتلال,-1,KSA
احتيال,-1,KSA
احرجت,-1,KSA
احزنني,-1,KSA
اخاف,-1,KSA
اختراق,-1,KSA
اختلافنا,-1,KSA
اخدم,-1,KSA
اخرج,-1,KSA
اخس,-1,KSA
اخسا,-1,KSA
اخضاعه,-1,KSA
اخضع,-1,KSA
اخطا,-1,KSA
اخطاء,-1,KSA
اخمتفو,-1,KSA
اخونجيه,-1,KSA
اخيس,-1,KSA
ادانة,-1,KSA
ادبغوه,-1,KSA
