tweet,class
نكسف التصويت رقم للصوت الدهبي,pos
اكيد راجعين دايب وكلي حنين,pos
يشوفها الشارع ميشوفهاش الانستجرام,neg
سنين اتفرجت مسلسل برغم بكره المسلسلات واحده تتعمي بيحبها يروح يدرس مخصوص عيون يعالجها قهره جماعيه جماعه,neg
افلح صدق والمقصود قطر,neg
قاعدة الصحاب نص الاسبوع بتقرب قاعدة الاسبوع,neu
الدنيا كتاب الفكر القائل الست,neu
جاي بتلعب خبزك وعجنك,neg
الخوف بالف نصل نصل ينغرس حلم قادم فتسود حالة نزف لكل الاحلام ويسود البحث ذرة امان وامنهم خوف,neg
الستاذ امير طعيمه اتصور سلفي شاهين ومينا بجوار كاس لقب ستار اكادمي,neu
الدنيا شيرين تبكي فاهم,neg
اهم الكتابه والاحساس الاملاء الشيء لزوم الشيء,neu
مساك اروع,pos
بعت هداي لشيرو,neu
كنترول نادوا دعاء,neu
بائس حياتي وحزين الساعه متفال ومبسوط فشخ سبحان مغير احوال,pos
اوعي تستسهل ماده,neu
خلص الفيلم كتبته عكس بتمني حبك الاول ابليس متعشم الجنه,neg
كتر الانشغال حاسس وقت اجازتي كائن غريب بيتي بتعرف الاسرة اول وجديد,neg
اه الجامعة امتحانات الجامعة,neg
فعلا صح عندك الله يرحمك امي,pos
تيجي بن الاحبي بورده يسلم كس امك,neg
ربنا معاك شاء الله,pos
سهام الليل صائبة المرامي وترت باوتار الخشوع يسددها المرمي رجال يطيلون السجود الركوع,neu
قاطعهم وقل تبا,neg
راح,neg
نكون مفرغين نحوي الخواء حينها نكون شعورا بالالم,neg
انتي المفروض ثانوي صح,neu
السبت هبدا مذاكرة,neu
تفكيرك محله,pos
صباح جديد اهلي تويتر,pos
انتي سقعانين عرقان والسخونيه ديه بنت جزمه,neg
اهل ميتين امه حما,neg
زمان بستني سؤالك عني مبقاش يفرق,neg
سيبك مبسوط باللي حصل انهارده امبارح محدش عقبالك,pos
الوطن عبدالمنعم ابراهيم فتافيت سكر السينما المصرية,neu
فرقوا الناس بتحبكو فارقين معاهم انتو بنسبه حاجة,neu
عرص,neg
المشكلة لسه جعانة بجد,neu
شاعرنا المحترم العيون الممكنة اة تعني كلمة ممكنة فاهمة حاجة رد,neu
رب عدلها,pos
اعرف ابن ناس يطلع صايع وربنا هداه ابن ناس وحد افاه فا يبقي صايع طا,neg
يلا تصبحوا خير,pos
اصلا مسلسل الشمال والجنوب بكرهه كله بعضه كفايوة فانزه الغتت,neg
خطوات بسيطة تحقيق حلم شاهين كلها يومين والحلم يتحقق تخيلوا الفرحه وشوشهم اعلان النتيجه بفوز شاهين,pos
مبحبش ابين مضايقة والله بيبان عليا بقلب وشي قصد,neg
حسبي الله ونعم الوكيل,neg
الزمالك نسيتوا,pos
ربنا يهديكي,neg
وقلبي نبضه صوت نبضك,pos
سمين حمدان ابكي,neu
شخصيات حياتي موجودة تحرقلي دمي,neg
استغفر الله العظيم,neg
تحلو مراره عيشي رضالك,pos
اهون عليكي تهوني عليا داهيه كرهتك,neg
تنجحي خلاص نامي ضميرك مرتاح,pos
ورايا امتحان ابن جزمة خمس ساعات ناقصة,neg
الحمد لله,pos
كام مره حبيت صدفة كام مره لعنتها,neg
ك ثيره ه امانينا رب حقق تراه خيرا ويسعدنا,pos
ليث نايم وفرحنا اننا شوفناه بيضحك الاكاديمي تخلص بكرة فاضين التصويت بليزز ليث ابو جودة,pos
شاء الله نصبح خير,pos
اعلام ابن ميتشين كلب,neg
اللهم طهر قلبي ضيق ويسر امري طريق,pos
بوح حادي العيس وينك غايب مده لاعيس لاصحرا حادي ماغير ذكري تهز القلب وتهده واقول عادي والله مهو عادي الرجل,neg
اول حب واخر حب هعيش ويا ه بيني وبينك احساس اكبر معناه,pos
اه التيت سرقنا صور هطلع عليهم النكد كله,neg
الفكره ماخذينها عني رجعوها والمره اليايه تاخذون مو عيب الحركات,neg
فضلت متمسمره للدرجة مبحسش اساله طلعت راسي وطفيت الاغاني وبعدين قولت هعمل وشغلت الاغاني,neg
الشتا مبيسيبش سعيد,neg
كدا خلاص اخري جاب اخره مني,neg
باسم يوسف خول وامك عارفه,neg
غبيه هرتاح المشكله بتغابي بنسي هرتاح برضو المشكله بتناسي بعرف اسامح مفرمله نفسي انتقم,neg
تسلموا,pos
الناس رب واشتقت بيتك وضعته فاللهم ارزقنا زيارته,pos
همسكهم الاتنين اخبطهم حيطة نبدا نضيف,neg
المفروض اروح الكليه بكره النهارده الصبح ادفع المصاريف هدخل الامتحان مدفعتهاش,neg
ميخافش ربنا خاف,neu
انتي منين اصلا وعايشه فين,neu
صلاه الفجر,neu
المشكله بتواجهك مكان محدد مكان وبالنسبه لخدمة علامة التغطيه الخاصه بالانترنت بتظهر,neu
اللهم تقبل منا ومنكم صالح الاعمال,pos
يكرهك بمجرد محبوب لناس,neg
وانتي طيبه مديره واحه الاسلام وربنا يزيدك نور ورفعه انتي والمنتدي بتاعك اتمني الخيرات وارفعه الدوام,pos
اللهم بشرنا بشارة خير نتوقعها ولم نكن نحلم ورزقنا رزقا نسالك اياه ولم يخطر ببالنا وجنبا شرا اعلم منا حي قيوم,pos
صباح الفل,pos
قالك واحدة وسخة بلوك,neg
اة دة هدفك القصة تعملي فتنة صح متخافيش فانز سلوم وفانز بسوم ويا عدت اشكال ثرت فينا,neg
وكنت ازعم الناس اذ زعموا بان غاب عني غاب بالي واليوم كذ بني قلبي وكذ بتهم فارقتهم واقاموا اوصالي,neg
وان يرزقك خدمتها اكمل وجه ويكتب الله الثواب,pos
بحب المذيعة دينا عصمت قناة النيل للاخبار اون للاسف مستواها نزل سي سي اكسترا قارئة نشرة ممتازة,neg
خلاص قرت هذاكر ليلة الامتحان ماذاكر انساها كفايه تضيع وقت المذاكره,neg
واقفة البلكونة بدري كدة فلقيت النظافة منضف الشارع دوب طلع لاول الشارع ورجع قام منضف الاستهتار اسلوب حياه,neg
عيونها يتالف اشعار,pos
سبحان الله وبحمده,neu
ارموهم اعماق البحار تشتت الامواج اشلائهم,neg
واتاري المحاسبة غداره غداره,neg
الناس عايشة توجعك,neg
وضوءك لصلاة الليل وصلاة الفجر شعورك بالبرد القشعريره كفيلة بنسف جبال الخطايا تحملها,pos
صباح الورد عنتبلي بيه,pos
شغال بنك,neu
اه الله تعبنا فشخ,neg
يحيي لس مكلمني مصتقدش لسه حي ممتش,pos
وجهة نظر برده,neu
الوضع يطاق,neg
اول تصريح السبسي يطلب تفويضا الشعب لمواجهة ارهاب محتمل واضح الكتلوج,neg
ننصر ديننا السير طريق العلم الدعوة الله معك العلم تستطع فكن محبا للعلم واهله,neu
مشكله بت عايزه الواد يهتم بيها ساعه نايم الرحمه حلوه,neg
كلهم زيك بنتي والله,pos
صباحو,pos
القرضاوي مهاجما قطر يحتفلون بالمولد النبوي ويحتفلون الكريسماس مانت عايش قطر السينات لسه واخد بالك,neg
الوطن بالفيديو القرضاوي يهاجم قطر يحتفلون بالمولد النبوي ويعتبرونه بدعة,neu
طريقك مسدود مسدود ولدي بصوت سعيد صالح,neg
شرطة مصرية اخوان المصالح الحكومية وعاملين شغب والمديرين بتخاف منهم وبيعملوا فتن واجتماعات,neg
ناسي والله ورجعني الحنين وتحت شباكك بيرميني الحنين,neg
انقلاب ربنا يقلب مصرانكم شاء الله,neg
احا صاحي بليز كول مي وقولنا ماشي انما ملاقيش علبه السجاير احا بجد شارب سجارة واحده,neg
السنة ملهاش دعوة بنجاحك وفشلك والحقيقة فاشل خول وعلق سئ الحظ قوانين الطبيعة والزمن بيتامروا صانع الساعات,neg
قال رسول الله لاتقولواللمنافق سيدنا يك سيدكم فقداسخطتم ربكم عزوجل الصحيحة,neu
رب امنحني قلب مبتسم سعد ن حولي اغمر القو اصبر ضعف امام شيء سواك صباح الخيرات,pos
تيجبي ملاحق يدي,neg
الثانوية بتنمي الغباء,neg
تطلب الله مالا تستطيع تادية شكره تحمل عبئه والا فلما ءاتاهم فضله بخلوا فاعقبهم نفاقا قلوبهم يلقونه,neu
متعاطف مؤمن بفكرا راي شخص حزب كيان الخ وتقارنه بشبيه متناقض الشئ منصف بالمرا,neg
س ط يك ر ك ت ر ض ج ك ت يم ج ك ض ه ج ك ائ غ ن,pos
المصدر الروبل الروسي يتراجع امام الدولار للمزيد,neu
المصدر برنت يتراجع باتجاه دولارا للبرميل التعاملات الاسيوية للتفاصيل,neu
الخيرات,pos
قم بتجهيز ملعب نجيل صناعي كامل متكامل بيبا سبورت باقل سعر وضمان سنوات,neu
فؤاد المهندس شويكار,pos
موديول منحس اوله,neg
الحمد ربي عدد خلايا اجسادنا المتعافيه وعدد ايامنا نشكوا وعدد نعمك نحصيها الحمدلله,pos
حفظ الله مصر,pos
شكرا لانك حياتي شكرا لانك حياتي صباح الحب,pos
الملل بالنسبالي اشبه بالموت,neg
وتعيش جيش بلادي,pos
علبه كشري وسط جنيه اربع افراد جنيه بلد متها امل,neg
اصاله حاله جميله,pos
عمل اناسائق,neu
سابتسم وجه يكرهني فان اكسب محبته سانجح فقع مرارته تمثلني وبشده,neu
بقوا بيتكلموا شكل دعاء اصلا متعرفش حصل وهي بره مشفتش,neu
اللقب يليق شاهينو,pos
يسطي تمام مفشوخ شوية امتحانات عملي خرا اهم مبسوط سطا,neg
والله كدابين ميزان اهو,neg
الله اه وسه شرفت بمتابعتك,pos
احا احوه كس حسام واخوه,neg
الاهلي,pos
الوطن غادة عبدالرازق تنشر صورتها اتحاد الطلبة وناشط مربية اجيال واجيال,neu
الحمد لله نعمه المناخير الصغيره,pos
حساب شيرين يحيي,neu
الدكاترة نفسي افهم شغال معاك اول الترم طالع عين اهلي تيجي بت الترم تنزلك دمعتين تحطلها مشروع تقديره امتياز قسم دراما,neg
ربنا يخليهولك ويسعدكوا,pos
الله واكبر رنوشتنا ربنا يكتر لقاءتك رنا اخنا بنبع منك ابدا وربنا يوفقك رب وتكون البر مطربة الوطن,pos
نفسي مرة اجرب اكون ليك اقرب,neg
خيالي مانت الواقع,neg
حبوب منع الفهم,neg
والله ناوي اذاكر واضح نصيب,neg
,pos
وليبيا بخير,pos
كفاية اسمك عجيب الشكل ايساف اسفاف,neg
محاسب يحاول الانتحار بالقاء نفسه امام المترو لعجز مليون جنيه بعهدته,neu
هنعود وعود وف غيابو اكيد لسة الامل,pos
عربي بيطلع عنيهم بردو,neg
اضحك والضحكة تبقي ضحكيتين واتنين اتنين اتنين,pos
ضحك صح والله,pos
بالف خير ميرسي احمد,pos
واحلي تحيه لاولاد بلدي اجمد ناس المصرين وصحابهم اللبنانين يسال وكنوزه مقلتش كنزه حسبتها كمصريه لانها بنتنا,pos
بيبعتلك ويسال يشوف رسالتك وميردش معناه الشخص معرفه وسخه الاول,neg
زملكاوي عرص,neg
فانز مينا مسابقه تصويت نايمين صوتوا لمينا بقا,neg
رنوشتي رايك صورتك فكتور نفس صور الحفله عارفه انتي بتبقي زعلانه,neg
تشكيل الاهلي مسعد عوض شريف عبدالفضيل سعد شريف حازم لؤي وائل غالي رزق السعيد سليمان تريزجيه متعب,neu
يخليه فحالة,neg
عامة الطريق واقف واقفه طين لسه داخل زايد اهو لاتيف,neg
جاريدو بيهرج والله,neg
ايمن يونس رغاي فشخ وحورتجي,neg
باعو قصر البارون بمليون جنيه وده تمن حته ارض اوسخ حته مصر قالك عصر مبارك الخراب اخرص عرص,neg
حفل نانسي غدا مصر جاردن سيتي فندق,neu
فورد تورس بوابة المصدر شاهد الاعلان بالكامل,neu
انصرنا انصرنا رب انصرنا,pos
بنكدب نتكلم عارفين اتكلمنا جد هنفترق بعدين,neg
دماغي شغالة ساعة,neu
عيونك حلوه فشافت الصور جميله,pos
الله وبركاتة وجول للاتحاد,pos
استر رب اولها بركاتك ابن الفقريه,neg
تسترجل ابن بت المرة الخول,neg
مبقتش بعترف بكلمه اسف ديه,neg
الكلاكس الة تنبيه مصر الة ازعاج ينزع السيارات لمدة ستة اشهر عدم وجوده بالسيارة يجبر قائدها السير بادب,neg
رب عالي انصر الاهلي الغالي,pos
حبيبي يديك ادخلني ضلوعك ضمني بقوة اعتصر ضلوعي ونبضي يحضن نبضك,pos
غالي متطلعش دين ابونا,neg
قبلتي صلاتي وقفت اصلي,pos
الرجاء الاسيوطي الاسماعيلي وادي دجلة ودلوقتي الاتحاد الاهلي فوق الجميع الاهلي فوق بتاع اندية الدوري,neg
والله لة فاكر ت الكاس الرجاء كسبانه بالعافيه قولت دة فاشل,neg
اقسم بالله نادي ابن وسخه يبقوا خسرانين متعادلين الفرقه كلها تنط تاخد ضربة جزاء حاجة قرف,neg
العب اخضر,pos
التصوير الاخراج الما ت بتاع الاهلي زفت اوي,neg
استحمل حسام حسن ميكسبش الاهلي,neg
ولاد المحظوظه كوره تتلعب بالشكل وتيجي العارضه كسم الحظ وتترد بكوره وتطلع بره حظ الدنيا كدا,neg
حاجة وسخه ارميه فعلا زهقت,neg
عائله ناظم بيك,neu
ععهه التاني الاتحاد ضحك ضحك,pos
المعلق ابن الكلاب,neg
توء توء,neu
عته والله,neg
بدات الحن النشيد,neu
احا شريف حازم جاله شد قام حاسبله فاول,neg
الثوابت يجدر ن التعلق زمن الفتن والمحن والتقلبات فهي قول الله وهي وعد الله يخلف الله الميعاد,neu
بكره الاتحاد بكرهو,neg
مشينا بمدا ربنا بيوقع الناس شبه بيكملوا هلاقي دول تتحط جنبي شبهي وهنطلع عين ففاكس تعملش كدا,neu
ريد الم ست حيل اريدك ث ق لبك ث ح ضنك وكفي,pos
الحمدلله كشف مصر الغمة وانقذها العصابات,pos
شقيقتي,neu
عامه خسر تريزيجيه هجوميا وكمان كفةئته دفاعيا قليله,neg
ساكنة الاسك,neg
ك ق يح ك ش ت ك ت اح ة الب غ اء,pos
جاريدوا حتشمت فينا ولاد البوابين,neg
ليها اسبابها ليا اسبابي للقدر اسباب نفسي اكمل اه نفسها جايز اهو ساب,neg
بيكفي تلعب باعصابي,neg
روحي الهي اشوفك داكتورة الدنيا بترفعي روحي المعنوية قادر كريم ضحك,pos
الاهلي خسر فايدة,neg
اعشق الجنس,pos
هنكتب اسامينا وهنفولو بعضينا الصراع الضمني اشكاليات التواجد الحسي بد اعطاء الفولو,neu
صداع رهيب مبوظ مودي,neg
الاهلي مغلوب,neu
بخير رب,pos
تحيه كبيره للاتحاد بجد فريق حلو اوي وبيلعبوا كوره جميله,pos
الاتحاد سيد البلد لولولولوي,pos
مكناش بنتكلم عليهم بنجيب سيرتهم سواء خسرانين كسبانين مبيفرقوش معانا اصلا كلامهم الزمالك خلانا نتكلم عليهم وهما خسرانين,neg
معة الحلوة والمرة هعة,pos
اخي اخي حرام اخي بصوت عبد العزيز,neg
الحمد لله يبقي الاهلي هوا فرحتنا وحياتنا مشكله يبقي حزني ميمنعش فرحت بسببه المره معاك اهلي,pos
وقع لية الف قومة الاهلي,pos
الاوراق كنوز مخبئه لمن يبحث عنها,neu
ولعها واخربها مينو ولما ترجع اتولع عشقي للصوره,pos
حجم الاتفاقيات عقدتها القيادة المصرية القيادة الصينية مبشر ويفتح الشهية لمصر الجديدة بعيدا المزايدات السياسية لبتوع الليبرالية,pos
عالحلوة والمرة معاه,pos
ميلاد مجيد سوريانا,pos
لوحدك شوف التلفونات والضحك يهمنا الاهلي برضوا القلب ت ويتعوض باذن الله,pos
ت بكره يحدد واعتقد اول اختبار برضوا منزودش الفرحه قدر الله حصل نقفش نعرف فريقنا ماشي كويس,neu
مبارة ممتازة اللاعبين والمدربين والتكتيك والاثارة والجماهير المباراة الدوري الانجليزي كبير للفريقين,pos
زهقنا بيقول معلومه وغير بيها حياة ناس وهي غلط,neg
وصحيح تتوقع البوكسينج داي,neu
زهقنا شبكة فودافون موجودة اساسا,neg
ممكا اقابلكم مترو الجيزه الشهدا,neu
المشكله العيب والتقصير مني اصلا المواد بتتفهم بتتحفظ,neg
الجيل شايب شباب,neg
دايما اسمك الذكريات كيان المعجزات الحياة,pos
ونتي النور طبق بنور,pos
حاجة ادي التويتر اهه قايم اذاكر مخليني فتحت امتحان بكرة,neg
النهاردة بطولة جديدة تدخل دولاب بطولات نادي الزمالك,pos
الاخ الاهطل والاخت العبيطة بتقول الزمالكاوية بيفرحو خسارة الاهلي بيفرحو مكسب الزمالك سيتك الاهلي اصلا,neg
اسود تاريخنا نرد القلم مية,neg
وربنا باطنه,neg
كفايا جماعة انتو بتصدقوا احا والله كسم الاهلي الاتحاد الدوري المصري مصر الرياضة بشكل عام,neg
الزمالكاويه بيزيطوا الاهلي اتغلب اتلموا بدل نردح وشكلكوا يبقي وحش هوا,neg
دائما نعرف الحقيقة ود ائما نخدع انف سنا لمة,neg
زميلي,neu
جدعان سمحتوا عنده ميتين عقده نفسيه يروح داخل شاتم اسك تتعالجوا تنتحروا والله,neg
ابتسام وعبدالسلام فين كلهم قاعدين بيحتفلو وهما قاعدين معاهم,neu
تعريف الفساد تسخير المنصب العام اجل الحصول مصلحة منفعة خاصة يحميه الاستبداد والقمع ويحميه الجهل والتخلف امنت العقوبة اسئ الادب,neu
العميد دبح الاهلي فاز فريق الاتحاد السكندري نظيره الاهلي بنتيجة مباراتهما باستاد القاهرة,neu
مفهوم الرياضه,neu
قصدك شاهين الله يغني الالوان متمسك بلون غنائي الحمد لله لمع الالوان مغربي جزائري فرينش صيني,pos
وليه نكون نفسنا نتجمع كلنا التفكير الفردي عمره جاب نتيجة كويسه النهاية زهقنا,neg
بيسكروا,neu
يسعدك غالي,pos
سرعة البديهه حسن التصرف المتلازمه الانجح الاكثر ابهارا بنسبالي,neu
كتر اتقلي فاشل حاسيس فاشلت بجد,neg
متضامن باسم يوسف الموقف الواحد والكلمه الوحده والاعلام الصح مثال لاحلي الاعلام عندنا ربنا معاك,pos
جيل شاب شباب,neg
زكرت بجنيه النهارده اعا,neg
طلعان عين ابونا الثانوية العامة,neg
اوكي,neu
ميري قريصمص احبيب قلبي روح افطر يل,pos
مانتي جنبي بلاقيكي تملي وش السعد عليا حبيبه قلبي ومعاكي ناقصني,pos
بايديه بايديا,neg
بحب النوم اوي بحب السرير المخدة ه لاحساس عظيم قادمة سريري تصبحوا سعادة خير,pos
نتعرف بنوته,neu
اقرار محمد منير,neu
العش ق زين الهموم سباقه,neg
اتفرجوا الفيديو واقراوا الكلام المكتوب تحته وقولولي انطباعكم عنه,neu
الكنترول انهاردة حرام امك عايزين نشوف دعاء السباعي ليث ابو جودة ارحم امنا العيانة,neg
حلوة الوحدة اوي والهدؤ,pos
روح عبدالسلام وراها اشمعنا الكنترول مستكتر علينا ننام مبسوطين,neg
رغم الجمال نسبي جمال يخطف العقل العين,pos
هنخسر حاجة اكيد,pos
حاجة محزنة نوعا فعلا,neg
الحظ,neg
شغل المشجع النظيف بتاع محمد نبي وعيسي نبي وموسي نبي كسم فرقة بشجعها بالذات معايا نفس المدينة بتنافسني بطولة,neg
موافقه,pos
عايزة اطبطب نفسي واقولها انتي تعبتي استحملتي معلش,neg
احلي حاجة الصبح بحبه,pos
مواقع التواصل الاجتماعي الها سلبيات والها ايجابيات الوعي وحسن الاستحدام بيخلينا نستفيد ضمن الحدود,neu
مو محتاج قلبك حنان احتاجك احتاج احتياجك,neg
اه يونس السوشيل ميديا كلها بقت لكل والله وقصه غريبه انهم يوافقوا يفضحوا نفسهم,neg
يخربيت المسا,neg
تعمل بكرة تفرج,neg
كسم ريال مدريد,neg
محتاجين اعادة تاهيل شاملة لذكرياتنا نفسيتنا,neg
الاهلي سيد الدوري,pos
فار بجد لعبة وعندي وباكله,neu
التمركز بتاع خط الضهر كله بليلة متقوليه ايجبها ومتنساش علق واقف جون,neg
ولانها شرقية تستغرب قتلها الحنين ولن تاتي,neg
محدش يهتم رجعت البيت دلقت جاز جسمك الهالك ولعت مليت الحوض اخدت منوم وغرقت,neg
ومين فينا نفسو ينفصل العالم كله ويبعد الناس حياته لفتره صغيره يرتاح,neg
ايوا بقا,pos
هنعمل مينا يسافر هنضيع غيره,neg
ار اسود الناس لسه بتقولوا دعاء بتحب ممدوح البت لمامحمدسال ليث وشك اتغير قالتله ممدوح صاحبي اتهدوا,neg
وبينا معاد,pos
الحراره,neu
افضل الصور ارسناليه هشتاق جديد الكل ينزل افضل صور لديه,neu
الاغنية حلوة فشخ,pos
الصبر لسه ساكت ويلي سكاته,neg
فواز قول لسعيدالشهير عيب تتريق شيخ ازهر الطبخ نحترم مشايخكم ونشاهدكم,neg
قلبي باب بيتك ادخلي تخبطي,pos
مينا وشيرين كانو بيغنو بض عادي وبيضحكو ينامو,neu
اموات صديقتي اموات نحيا وسطهم حياء نكاد نظهر نخاف نصبح مثلهم فنهرب الواقع بتناول جرعتنا المعتادة نستمع الموسيقي ليلا,neg
عاب اخيه بقبح يمت يفعله ابن القيم,neu
محدش وصل لمستواها المتدني اخلاق واسلوب وجوهر كله صفر شكلها صحبتك فالشغل محترم وطيب وابيض سواد وغل شبهكوا,neg
مواقف نفسي تتعاد اغير رد فعلي خدته وقتها,neg
مالها كنزه,neu
تتخيل الاحساس بتكون سمعت اغنية مشاعر بتاع شيرين الوقت اوف فشيخه,pos
تعرف تسرق مصر بمباركة ومشاركة كبار موظفي الدولة لابد عيله حرمية معروفه وموثوق قلة شرفها ولها سوابق,neg
اللهم عبدك عهدك وعدك استطعت ابوء بنعمتك وابوء بذنبي فاغفر ذنوبي يغفر الذنوب,pos
نسالك الصحة الجسد نسالك البركة الولد نسالك سلاما وامانا برضاك البلد,pos
نسمة مححجوب دعمت حبيبي محمد شاهين كثفو التصويت وصلوه للقب,pos
اعملي البلوك للكاندي كراش نفسها تضايقي نفسك,neu
رب استاذه لمياء شاهين خد اللقب انتي مصريه صح اهلا بحضرتك مصر,pos
ريتك معايا تطوفي وسط البشر والزحام وتشوفي حيرتي وخوفي عليكي الالام,neg
الوطن زعزوع مصر اتخذت اجراءات جديدة لتسهيل منح تاشيرات دخول السياح العرب,neu
الوطن فرانس برس العنف يسود الشرق الاوسط ويطغي احتفالات عيد الميلاد,neu
الوطن استمرار اضراب الاطباء العاميون فرنسا لليوم الثاني التوالي,neu
صبرك محارم الله ايسر صبرك عذاب الله صبري نفسي صبر الناس البال يهدم الجبال عش رجبا تري عجبا,neu
قولنها زمان مكان نادي الملوك وراة فرسان اسمة يتشاف غيرو يخاف يقف قصادو مكان الزنالك الملك,pos
نني انثي اجزم ابناء ادم يفهموا قلوبنا لة امضواء الف,neg
بحاول مفكرش بحاول مصدقش بحاول اهرب حصل بحاول ابطل اتعلق بحد بحاول انسي بحاول اعيش محاولاتي اخرشهور معظمها فشلت,neg
عندما يعاقبك تحب تقصير فتاكد يكتب نهايته بداخلك بحبر وجع,neg
وان كثرت الاحلام يبقي حلم واحده معلق دائما بالبال ونتمني يحقق,pos
غادة للنفاق عنوان واحدة اتكلمت زمايلها متركتش محشتش وشوفوا يتكلم عالمصلحة ههعع,neg
خاليه الحب فلاتخدعكم كتاباتي احببت شخص وفقدته واكتفيت,neg
البرد,neg
صباحكما ورد سعد,pos
صبحكم الله بكل رضا وثبات عنده,pos
الحمد لله عندنا ترام,pos
صباحكم مسكر,pos
تصدقي صح اصل الجنس منيل يتعاشرش,neg
ضحك البنات حكايات ضحكك حكايه لوحديها,pos
مجتمعات مقرفه وغبيه ابو بكر الرازي بيطعن منطقيه فكره النبوه نفسها ومتعدمش وكتاباته عايشه,neg
حكمة ميكروباص مصر نيلك كله صلصه تكفي الكوسه فيكي,neg
الحاجات الحلوه عصبح,pos
منمتش ساعات,neg
يعد بداخلنا الم الصمت,neg
بنات جدعان فوق العادي,pos
الوطن طن منتجات غذائية منتهية الصلاحية بمصنع اكتوبر,neu
دائما تشهد مباريات وسط الجدول العديد المفاجات,neu
ازيك,neu
بتضحك وعينيها كلها دموع سادة اعشق شيرين يحيي مكملين شيرين,pos
اجل علاقه تدوم عاتبني اشياء تزعجك تدعها تكبر قلبك ابدا,pos
عارف وملوش علاقة الاعتذار برنا التويته حلوة اعتذرت الفانز,neg
الوسيم,pos
اتمني موت بحبوا,pos
شكرا,pos
الاهتمام التقدير مفتاح,pos
يثق فيا يصدقني ماحلفلوا اصل مجتمغ ابن وسخة نضف,neg
وناس تقولك هفضل معاك وفجاه متلاقيش,neg
هحاول اتعامل زفت بيحصل حياتي الخساير النفسيه,neg
ج راحك عا اله اول حدا يوص,neg
