tweet,class,pred,is_Similar
' تعبت بقى يا ربي  يومين مش بنام بسبب حتة لوجو ؟! ده انت ولا منك رسمة ولا منك كتابة اصلا يا لوجو يا #معفن ',neg,pos,False
' عشان محدش يزعل على الحلوة والمرة معاة #الاهلى_فى_القلب https://t.co/lQd2VWaPnh ',pos,pos,True
' جيرارد يرحل عن ليفربول في نهاية الموسم #أخبار_رياضية #جيرارد #ليفربول  http://t.co/GR0VdIg4Nw http://t.co/rzu1FqGouE ',neu,neu,True
' عادي جدا انك تحب حد من غير سبب  علشان الحب نفسه هو حب كدا من غير إزاي وليه ',pos,neg,False
"' """"""\""""أخٌ كالغذاء،تحتاج له دائماً و أخٌ كالدواء،تحتاج له أحياناً، و أخٌ كالداء،لا تحتاج إليه أبداً\"""" #مصطفى_محمود  أهو أنا بحب أكون رقم 2 ده فشخ!"""""""" '",neu,pos,False
' #prt اوسكار احسن اب. ',pos,pos,True
' #نقطة_ضعف_الشاب العيون الجميلة... ',pos,neu,False
' اه علي الجامعة و امتحانات الجامعة ',neg,neg,True
' @m_alsanusi فيلم مسدسات شكله ',neu,pos,False
' احنا فى زمن العجائب #اة_واللة ',neu,neg,False
' قلبك ملكك متشغلوش باى حد ♥ ',pos,neu,False
' #شي_تتمنى_يصير_في_2015 الإهتمام بما يخدم المواطن ك التعليم والصحة والبنى التحتية وبناء مستشفيات في القرى أكثر مافي المدن ',pos,pos,True
' @sheko0ooz اه باين والله من غير توضيح  هعمل بنصيحتك حاضر .. شوفت بسمع الكلام ازاي ',neu,neg,False
' #غرفة_الأخبار   متابعة حركة المرور والأزدحام بشوارع وميادين القاهرة لصباح يوم 27 ديسمبر 2014 https://t.co/pcA8Fg2olo ',neu,pos,False
"' """"""ﻭﻓﻲ ﺃﻭﻝ ﺟُﻤﻌﺔ ﻣﻦ ﻋﺎﻡ 2015 ، ﺍﻟﻠﻬُﻢ ﺇﺟﻌﻠﻨﺎ ﻣﻤﻦ ﻋﻔﻮﺕ ﻋﻨﻬﻢ ، ﻭﺭﺿﻴﺖ ﻋﻨﻬﻢ، ﻭﻏﻔﺮﺕ ﻟﻬﻢ .. جمعة مباركة على جميع يا رب .."""""""" '",pos,pos,True
"' """"""انقذت هرة عائلة في النمسا احترق منزلها فجرا اذ ايقظتهم من النوم ما اتاح لهم الفرار من ألسنة النيران، بحسب ما اعلنت الشرطة الاربعاء"""""""" '",neu,neg,False
' @Muhamed__Ahmed @ahlyworld75 الاخوان من قناة تركية ومعتز مطر يرموا عضمة للنوشتاء وهم يولعوا الليلة ',neu,pos,False
' كلنا هذا الشخص المتنيل على عينه ... #prt ',neg,neg,True
' جوووووووووووول ',pos,neg,False
' @hmoodi88 @3zIZ_Arsenal  برحتك ماشى ..بس افتكر من اﻻاحترام التوضيح وعدم السخريه .. انتا اكيد مشجع محترم ...فﻻزم ترتقى شويه فى الرد ',neg,neg,True
' احنا جيل اللى شاب و هو شباب ... ',neg,neu,False
"' """"""\""""@HeshiAm_: طب معلش يا جماعة نجرب بس، كوت زيس تويت ويز ا سيلفي بس راعو فينا ربنا\"""" دول مرعاوش حاجه ولا راعوا فينا ربنا ولا الهه الشمس حتى"""""""" '",neg,pos,False
"' """"""حين نكون مفرغين ولا نحوي إلا الخواء ، حينها سوف نكون أقل شعوراً بالألم."""""""" '",neg,neu,False
' @i3abmo3ty كنت نايم معلش ',neu,neg,False
' احنا مكناش بنتكلم عليهم ولا بنجيب سيرتهم سواء خسرانين او كسبانين مبيفرقوش معانا اصلا بس كلامهم ع الزمالك ال خلانا نتكلم عليهم وهما خسرانين ',neg,neg,True
' @Maroc_tiskat22 اة دة هدفك يعني من القصة انك تعملي فتنة صح متخافيش فانز سلوم وفانز بسوم واحد وياما عدت اشكال زي دي ومأثرتش فينا ',neg,neg,True
"' ""لو انت فاكر يا يونس سيلفيا زي القصة بتاعة زمان \"""" سيلفيا تعود \"""" :D @Ahmad_Youness  #3alahwa '",neu,neg,False
' وما خفي كان اعظم.        او يام في الجراب يحاوي.    . البلد بلدهم بس. ربنا يهدي الضال امين ',neg,pos,False
' دايما مجروح يا هوى وفي بعدك بلوم الهوى ..! ',neg,pos,False
' كان يحرث مابعوه ',neu,neg,False
' @AhmedDoda6 عيلة وسخة بس بننجح #قصف_جبهة :D ',neg,neg,True
' #المصري_اليوم | مفتي #السعودية: الاحتفال بالمولد النبوي بدعة.. و #داعش  و #القاعدة  فرق ضالة http://t.co/x5uTGk0j7A http://t.co/iOx1tOqlHD ',neu,pos,False
' اللهُم اني بحاجة لِحياه تخلو من غضبك ملِيئه برضاك ورحمتك ربي إن كان هُناك ذنب يحول بيني وبين رضاك فاغفره لي يا ارحم الراحمِين. ',pos,pos,True
' عامه .. الاحلام بتساعد ع الوقوف ع ارض صلبه ',pos,neg,False
' خلي لنفسك حدود لا انت وﻻ غيرك يتعدوها !! ',neu,pos,False
' الصحبة في الطريق :)  #Alex #Rest #OnTheGo #Sky #View #Winter #Traveling #Sunset @ 17.04 #Egypt… http://t.co/A8fG3ZIJNv ',pos,neu,False
' وطني ستظل أنت عشقي الأول   #مصر  اللهم اجعل اجازتي سالمة في مصر ',pos,pos,True
' #بتمنى_ب2015 نعرف قيمة بلدنا ',pos,pos,True
' لاتقل للصلاه عندي عمل قل للعمل عندي صلاه الصلاه مقرونه بالنجاح فكيف يفلح من لايصلي؟ ',pos,neu,False
' النهارده ذكرى سقوط الاندلس ماتت قلوب الناس ماتت فينا النخوه بلاش ننسى فى يوم ان العرب ولاد وسخااااا ',neg,neg,True
' @Adel_fawzy جون كوستاريكا ده اتشقلب قدامنا ',pos,neg,False
' ربـگ ساترها ع الناس ',neu,pos,False
' كيف السبيل إلى وصالك دلنى ',pos,neg,False
"' ""نمرة - \""""مع السلامة\"""" من ألبوم #اسمعني | Hamza Namira _ Ma\""""assalama من خلال Awakening Records #np on # على SoundCloud https://t.co/gP8MnhYI5N '",neu,neu,True
' فاروق يغادر مران الأهلي مصابا.. وجاريدو يعالج أخطاء الدفاع بجمعة #الاهلى #يلا_دورى http://t.co/w9hjoW7IlK ',neu,neg,False
' اللي نحبه ميحبنااش واللي يحبنااا منحبوش !! ',neu,neg,False
' الحرية لﻻولتراس الحرية للمدرج الكورة للجمهور يا داخلية وسخة ',neg,pos,False
"' """"""سُئل الحسن البصري رحمه الله : أين تجد الراحة فقال : . سجدة بعد غفلة ، وتوبة بعد ذنب"""""""" '",neu,neg,False
' الله يسامحك مابي أدعي بلحظه غضب .. ',neg,pos,False
' #وائل_كفوري يتصدّر للأسبوع السادس على التوالي ويحتلّ المرتبة الأولى  http://t.co/Xyfoz0FqzL …  @kfourywael   . http://t.co/YBMUhOJKKB ',neu,neu,True
' بتصعب عليا الناس الي عندي الي ف كليه الي مش فاهمين حاجه ف المزيكا وبيعدوا وبيعشوا حياتهم عشان يبقوا مدرسين موسيقي ف الاخر ',neg,pos,False
' يا بخت الناس اللي بتشوف الناس اللي احنا بنشوفها اه والله بجد ',pos,neu,False
' @reemomhamed66 اصيلة ى انشراح☺ ',pos,neu,False
' @kiki752002 اى مسلسلات لاى جنسية بيبقوا مهتمين بابراز اجمل ما فى بلادهم  احنا اعوذ بالله بنتففن فى اظهار القبيح ',neg,neg,True
' @Alshaikh2 شاعرنا المحترم يعنى اية العيون االممكنة اة تعنى كلمة ممكنة مش فاهمة حاجة ممكن رد ',neu,neg,False
' @samar_dm صباح الفل ',pos,pos,True
' @11h_n @Jifri_lovers @alnrjseygmailco @ahmed_mfarg كثير من الصحابة والتابعين كانوا متصوفبن اي زاهدين تاركن اهواء الدنيا للاخرة الباقبة ',neu,neg,False
' العيال ام تكبر بتتملي مساخه ',neg,neg,True
' @MawlaNa92 يسطى تمام مفشوخ ف شوية امتحانات عملي و خرا اهم حاجه تكون مبسوط ياسطا ',neg,pos,False
"' ""بقيت بحس ان الايموشن دا \"""" :D\""""قليل الادب او بيدي ايحائات بكدا ! '",neg,neg,True
' @hhe600 @Azkrona @mero74092116 @nourtoumi9944 @7moodyx3 سيبك منها ياسوما يالا نروح ننام وسيبيها تنبح زى الكلبة ',neg,neg,True
"' """"""ﻭَﺣﺶ ﺍﻟﻌﻠﻮﻗﻴﺔ ﺍﻟﺸﺮﻳﺮ، ﻟﻴﺲ ﺍﻵﻥ ﻣﻦ ﻓﻀﻠﻚ . ﻋﻨﺪﻱ ﺍﻣﺘﺤﺎﻥ ﺑﻜﺮﻩ . ﺭﺍﻋﻴﻨﻲ ﻭﻗﺪّﺭﻧﻲ ﻳﺎﺳﻄﻰ ﻋﺸﺎﻥ ﻋﻼﻗﺘﻨﺎ ﺗﺴﺘﻤﺮ ."""""""" '",neg,neg,True
' نعمة الاسلام اشي لا يقدر بثمن  الحمد لله ♥ ',pos,pos,True
' @Nouran_Ali @Yomna_Yasser10 اهم حاجة البورتلاندى أصل لمؤغذة العمود من دول لازم يبقى متيين :D ',pos,neg,False
' دلق القهوة خييييير ',pos,pos,True
' @midoahm  مش سامع صوووت يعنى ',neg,neg,True
' @sosoall19951 انا سمعت انو غادر لبنان ساعات ورجع علي شان بادر يدل بلبنان ',neu,pos,False
' @388leen الحقيقه بدت مثل الخيال هو عدوي واذكا حبيب  كل ماقفيت ناداني تعال لذه الحب في الشيء القليل ',pos,neg,False
"' ""\""""@u121353327: @afa1387 @elahlam9 @mhm27m @l_altoaimi @bosyzezo1 مشكوره ام عبدالله\"""" '",pos,neg,False
' هناك آشخاص  نحنوا لا نخسرهم  إنما المواقف تغربلهم .. ',neg,neg,True
' الصبر لسه ساكت يا ويلي من سكاته ',neg,pos,False
' وبان حزنه كله و ضعفه لما فاق ',neg,neg,True
' اللهم اعنى على ذكرك وشكرك وحسن عبادتك ',neu,pos,False
' @11h_n @Jifri_lovers @alnrjseygmailco @ahmed_mfargفي زمن الصحابة من هو آثر الفقر    الطاعة لله على ان يسال الناس الحاجة مع العلم والعمل ',neu,pos,False
' #MinaAtta #ShereenYehia #LaithAbuJoda #MohammadChahine #DoaaElSebaii مفيش وقت ياريت تصوتوا لمحمد على رقم 2 http://t.co/qsb3iQPr53 ',neu,neg,False
' @AyhamOtoom صباح الخير أيهم  كل سنة وانت سالم ',pos,pos,True
"' ""\""""@mom_reem: الوقتُ و الإهتمامُ هما أجملُ و أثمن شيء قد تهديه لشخص تحبّه\"""" '",pos,pos,True
' اوعي تستسهل ماده ',neu,neg,False
' في الغالب انا احب أتأمل اكتر من اني أتكلم ',pos,neu,False
' أحوال البشر عند الموت وفي البرزخ.. http://t.co/T4xc1b3hpS ',neu,neg,False
' وَلَسَوْفَ يُعْطِيكَ رَبُّكَ فَتَرْضَى ﴿٥﴾ أَلَمْ يَجِدْكَ يَتِيمًا فَآوَى ﴿٦﴾ وَوَجَدَكَ ضَالًّا فَهَدَى ﴿٧﴾وَوَجَدَكَ عَائِلًا فَأَغْنَى ',pos,neu,False
' اللي يشوفها في الشارع ميشوفهاش ع الانستجرام ',neg,pos,False
' انا مش هعيش طول عمري ملاك✋ ',neg,pos,False
' @AyaCrazy88 وليه نكون مع نفسنا لما ممكن ان احنا نتجمع كلنا التفكير الفردي عمره ما جاب نتيجة كويسه في النهاية . #زهقنا_من ',neg,neg,True
' @EngMera_M وانتى حد وجهلك كلام ',neg,pos,False
' صباح الخير والسعادة ......عام سعيد علينا جميعا http://t.co/ihDU0E5WWf ',pos,pos,True
' صباح المذاكرة ',pos,pos,True
' على سبيل الصياعة انا نزلت اقعد مع اصحابى فى 2014 روحت البيت فى 2015   #سنه_جديده_2015 ',neu,neg,False
' @a_monem وللاسف لم استطيع ان اجيب كل القذاره وده علي كورنيش المنيل ',neg,neg,True
' يسعدلى هالصباح على عيونكو الحلويين ',pos,neu,False
' @aaaahmad21  لا ده اسمه علي اسم الغالي اسمه احمد ** ',pos,pos,True
' @FahadshalabiJcf  http://t.co/6wVxib18Ke  موقع تعليمي للاطفال http://t.co/L03p0dcJZ9 ',neu,neg,False
' #مصر_العربية   حاتم عزام لـ رامي جان: كل سنة وأنت حر التفاصيل من هنا http://t.co/ty3sQ43LLd @hatemazzam ',pos,pos,True
' آنا كدا خلاص آخري جاب آخره مني . ',neg,neg,True
' انا بتقطع من جوايا ونسيت طعم الفرح. ',neg,pos,False
' الخميس القادم. ارسنالvs ساوثامتون تشلسى vs توتنهام مانشستر vs ستوك سيتى السيتىvs سندرﻻند جوله هيا اﻻخر فى مصلحه اﻻرسنال فى حاله الفوز ',neu,neu,True
' مبروك #محمد شاهين ',pos,pos,True
' الله يوم جميل ',pos,pos,True
' حفتر. الحجازى. صقر الجروشى. الغريانى. السويحلى. بادي.   لقد كان عامآ اسودآ يوم ما شفنا خليقكم   مارك عفاريت هيلد ',neg,neg,True
' @GhassaniZein مساكم طيّب المقام ..و نور الظلام ..كل عام و انتم بخير بمولد سيد الأنام ',pos,pos,True
' ايه الجو ده ❤❤ ',pos,neg,False
' @AhmedMekhamer  لا بالعكس الباثولوجي انا كنت بحبها .. ',pos,neu,False
' قال شيخنا ابن_باز إذا صلى الخطيب أثناء خطبة الجمعة على الرسول عليه الصلاة والسلام فليصلِّ المستمع على الرسول ولكن في نفسه لا يرفع بها صوته ',neu,neu,True
' @GhadaAbdelRazek  كـــل عـــام وحــبــك الأجـمـــل يا مضـــوي شمعــة ســنيــني كـــل عــام وأنــت الأول فــي حــياتـي وقـــلبي وعــيني ',pos,pos,True
' بلوك بقي للكلب ده اللي بيقول علينا عبيد البيادة وهو من عبيد المرشد تبع الخرفان يعني @abdelfattah75 ',neg,neg,True
' @4_rero4 @dhn_al3od روعه غاية التعبير ',pos,neg,False
' انا مش لاقي نفسي مش فاهمني .. ',neg,neg,True
' ماعندكيش شخصية ياست ',neg,neg,True
' محمد ابراهيم راح الاهلي بجد؟ ',neu,pos,False
' كسبنا دمنهور متصدر لا تكلمني  المصري هيعملها مع انبي @ dreamerstours http://t.co/53NLYCepmW ',pos,neg,False
' @smurfes777 شعب مهبل بطبعه ',neg,neg,True
' @youm7 روووووووعة يامصر ام الدنيا بعد زمن فساد مبارك http://t.co/yeeZJ2bOma ',pos,pos,True
' @Ematchoo انا ديموقراطى ✋ ',neu,neg,False
' @Mo7aMeD_KH1911 جرا ايه يا كسمك ',neg,pos,False
' @mohamedkweder حوار خولاتي ونسوان ',neg,neu,False
' احا يا دوري ',neg,pos,False
' من اغرب مقتطفات 2014 انى محستش بالسقعة ابدا ومش تقلت فى الهدوم  نهائى ولا جالى برد !! ',neu,neg,False
' مهما تباعدنا ترى (الود) موجود ماينزعه من خافقي اي طاري في عيني اليمنى لك الشوق ممدود وفي عيني اليسرى وجود اجتباري ',pos,neg,False
' هحاول اتعامل مع اي زفت بيحصل ف حياتي ب اقل الخساير #النفسيه ',neg,neg,True
' ده قالي في يوم يا حبيبتى خدي القمر  ورحت معاه ومااداني إلا السهر ',neg,pos,False
' الاهلى هيكسب فرق سكور كبير نيك ',pos,neg,False
' و تشجيني معانيها و ارددها و اغنيها و أنا سهـــــــــران و يجي النوم يناديني الاقي الشوق يصحيني على الحرمــــــــــــــان ',pos,neg,False
' و يوم ما حبها .. حبها من ضحكتها ♥ ',pos,neg,False
' مصطفى حسني قدوتي بعد رسولي. ',pos,pos,True
' _مهما بلغت بك اﻵحزان ·· وتعددت في قلبك الهموم تذكر فقط آن الحياه لحظه  لا تقاس سعادتها إلا ·· بذكر الله واﻹقتراب منه · ',neu,pos,False
' الستاذ امير طعيمه اتصور سلفى مع شاهين ومينا بجوار كاس لقب ستار اكادمى ♥  #MohammadChahine ',neu,neu,True
"' """"""اليوم عيد ميلاد المبدع العظيم صلاح جاهين ،،الله يرحمه،، http://t.co/GXVxNrM7KW"""""""" '",pos,pos,True
' احمدمحمد ',neu,neg,False
' @Roro_224 والله انا كتبها عشان كدة . برافو عليكي :D ',pos,pos,True
' @nora_samy10 @Shimaaelhamamsy @mina_team  ممكا اقابلكم ف مترو الجيزه او الشهدا ',neu,neg,False
"' """"""#هكلملك_القاضي وكم من قضاه كلمهم ممدوح شاهين ، وكم من قاتل أفلت من عقاب الأرض #تسريب_الشرق_لمكتب_السيسي"""""""" '",neg,neg,True
' #الوطن  47 طن منتجات غذائية «منتهية الصلاحية» بمصنع فى 6 أكتوبر http://t.co/ul7lRfcraw ',neu,neu,True
' إجتماع طارئ لمجلس إدارة نادي الزمالك . http://t.co/mFaIHaqEQ0 ',neu,pos,False
' انا كنت نعمة وانتي مفهمتيش ',neg,pos,False
' بدونك لا طعم لوجودي…! ',neg,pos,False
' احنا جيل المبضونين يا جماعه والله ',neg,neg,True
' وﻻ تنسوا الفضل بينكم #قرءان ',pos,pos,True
' @magdyheiba ايه يا اسطي حنجرتك بالدنيا حصل ايه بس ',neu,neg,False
' طب اطلع غلي ف ايه !!!! ',neg,neg,True
' هو صعب فعلاً واحنا بنستحمي وخايفين ندخل تحت الميه بس الاصعب واحنا طالعين وبننشف جسمنا والاصعب واحنا خارجين من باب الحمام -.- ',neu,neg,False
"' """"""منت لحظه جت تداريني وتعدي ، انت عمر صرت اعيشه من جديد"""""""" '",pos,neg,False
' @ThMido باك ',neu,neu,True
' @9a95ca00a112439  مفيش اعاده النهارده ',neu,neg,False
' الجوع ملحد ',neg,neg,True
"' """"""إذا بلغك عن أخيك شيء تكرهه ، فالتمس له العذر جهدك ،فإن لم تجد له عذرا ، فقل : لعل له عذرا لا أعلمه.... ربنا يسامح .."""""""" '",pos,neg,False
"' ""\"""": فاطمة ناعوت اللي السيسي أمرها بنشر صحيح الدين الإسلامي في مصر بتتحاكم جنائياً بتهمة ازدراء الدين الإسلامي #منقول  فاشية عسكرية ودينية\"""" '",neg,neg,True
' تحبوني آدعو اني اعيش طول العمر مع دادو ♥ http://t.co/K1qskLjgLx ',pos,pos,True
