tweet,class
' @NightStars777 ربنا معاك ان شاء الله ',pos
' سهام الليل صائبة المرامي اذا وترت باوتار الخشوع يسددها الى المرمى رجال يطيلون السجود مع الركوع ',neu
' قاطعهم وقل لهم: تباً لكم ! ',neg
' راح -_- ',neg
"' """"""حين نكون مفرغين ولا نحوي إلا الخواء ، حينها سوف نكون أقل شعوراً بالألم."""""""" '",neg
' @iMiruuzz انتي المفروض ثانوي صح؟ ',neu
' انا من يوم السبت هبدا مذاكرة ✋ ',neu
' @heshamelDali تفكيرك في محله✋ ',pos
' صباح جديد على اهلي فى تويتر ',pos
' طبعا انتي سقعانين وانا كمان  بس انا عرقان والسخونيه ديه بنت جزمه ',neg
' @AbyHegazy وانت من اهل ميتين امه ياحما ',neg
' كنت زمان بستنى سؤالك عني دلوقتي مبقاش يفرق. ',neg
"' ""بس سيبك انت ... انا مبسوط باللى حصل انهارده و امبارح ... \"""" محدش قالى عقبالك \"""" :D =))) '",pos
"' ""#الوطن   عبدالمنعم إبراهيم.. \""""فتافيت سكر\"""" السينما المصرية http://t.co/B3apRKiogz '",neu
' فرقوا بين الناس اللي بتحبكو و فارقين معاهم و بين اللي انتو بنسبه لهم ولا حاجة ',neu
"' """"""@MohabE_ لأ، عرص"""""""" '",neg
' المشكلة ان انا لسه جعانة بجد :D ',neu
' @Alshaikh2 شاعرنا المحترم يعنى اية العيون االممكنة اة تعنى كلمة ممكنة مش فاهمة حاجة ممكن رد ',neu
' و يا رب عدلها. ',pos
' انا كل ما اعرف حد ابن ناس يطلع يا كان صايع وربنا هداه يأما ابن ناس وحد على افاه فا هيبقى صايع  طب ليه كده طا ',neg
' @lmooos_7 @Tomi987123 @safi2332 يلا تصبحوا ع خير♥♥ ',pos
' @samezabi @rim0o01 اصلا مسلسل الشمال والجنوب ده بكرهه كله علي بعضه كفايوة فانزه الغتت ',neg
' نحن على بعد خطوات بسيطة من تحقيق حلم شاهين كلها يومين والحلم يتحقق  تخيلوا الفرحه على وشوشهم يوم اعلان النتيجه بفوز شاهين  #MohammadChahine ',pos
' مبحبش ابين اني مضايقة والله بس بيبان عليا و بقلب وشي من غير قصد ',neg
' @dodokemo98 @nona24_nona حسبي الله ونعم الوكيل :( ',neg
' احنا الزمالك احنا ولا نسيتوا :P ',pos
' @kamilia27644962 @cerinelle @mscallstephany @negoombookra @BRNSESREM  ربنا يهديكي ',neg
' وقلبي نبضه صوت نبضك.. ',pos
' ياسمين حمدان - لا مش أنا اللي ابكي ',neu
' فيه شخصيات فى حياتى موجودة بس عشان تحرقلى دمى. ',neg
' @FOmar050280 @9633656hhh استغفر الله العظيم ',neg
' تحلو مراره عيشي في رضااالك ............. ',pos
' اهون عليكي تهونى عليا  يالا ف داهيه :) #كرهتك ',neg
' @Mawada_Hashim - هتنجحي خلاص نامي و ضميرك مرتاح ',pos
' ورأيا امتحان ابن جزمة كمان خمس ساعات و مش ناقصة ',neg
' @ZohooZohor @AaAaasads الحمد لله ',pos
"' """"""#عن كام مره حبيت صدفة ، و كام مره لعنتها ."""""""" '",neg
"' ""\""""@reeem12345s: كَثيرهہ هَيّ آمآنينآ فَ يآربَ حققّ         مآ ترآهُ خيراً لنآ..ويسعدنا♡~ ” http://t.co/3mF5fbSLaG\"""" '",pos
' ليث نايم وفرحنا اننا شوفناه بيضحك الاكاديمي هتخلص بكرة احنا فاضين دلوقتي ع التصويت بليزز #LaithAbuJoda ليث أبو جودة ',pos
' ان شاء الله نصبح علي خير :) ',pos
' @shababic اعلام ابن ميتشين كلب :) ',neg
"' """"""اللهم طهر قلبي من كل ضيق، ويسر لي أمري في كل طريق"""""""" '",pos
"' ""\""""بوح  ياحادي العيس وينك غايبٍ  مده اليوم لاعيس لاصحرا  ولا حادي  ماغير ذكرى تهز القلب ٠٠وتهده واقول عادي وهو والله مهو عادي  ٠ ٠ #ذلك_الرجل\"""" '",neg
' انت اول حب واخر حب هعيش وياه... واللى بينى وبينك احساس اكبر من معناه ',pos
' @meroobas اه التييييييت بس احنا سرقنا صور كتييييير  هطلع عليهم النكد كله ',neg
' الفكره اللي ماخذينها عني؟ رجعوها والمره اليايه لا تاخذون شي مو لكم عيب هالحركات ',neg
"' """"""انا فضلت متمسمره :  للدرجة دى انا مبحسش اسأله طلعت فى راسي وطفيت الاغانى وبعدين قولت طب وانا هعمل ايه وشغلت الاغانى تانى :\"""""""""""" '",neg
' الشـتـا  مبيسيبـش حد سعيـد .. ',neg
' آنا كدا خلاص آخري جاب آخره مني . ',neg
' @DrBassemYoussef باسم يوسف انت خول وامك عارفه ',neg
' بس انا لو غبيه كنت هرتاح المشكله اني بتغابي  و لو بنسي هرتاح برضو المشكله اني بتناسي و مش بعرف اسامح كمان و مفرمله نفسي اني انتقم ',neg
' @memoo_f151 تسلمواااااااااا ',pos
' @balawi2 وانا من الناس يارب واشتقت الى بيتك الذي وضعته لنا .. فاللهم ارزقنا زيارته ',pos
' @DesoukyAya @meroobas همسكهم الاتنين و اخبطهم في حيطة و نبدأ على نضيف ',neg
"' """"""انا المفروض اروح الكليه بكره، اللي هو النهارده الصبح يعني عشان ادفع المصاريف عشان مش هدخل الامتحان لو مدفعتهاش :\""""D"""""""" '",neg
' اللي ميخافش من ربنا .. خاف منه ',neu
' @yosraabdelwaha2 انتي منين اصلا وعايشه فين ',neu
' صلاه الفجر ',neu
' @omarhamdino هل المشكله بتواجهك فى مكان محدد ولا اى مكان ؟ وبالنسبه لخدمة ال3G ايه علامة التغطيه الخاصه بالانترنت اللى بتظهر لك ؟ Zahran ',neu
' @Ahlam_Alshamsi اللهم تقبل منا ومنكم صالح الأعمال ',pos
' ممكن حد يكرهك بمجرد انك محبوب لناس كتير ',neg
' @wahetaleslam كل سنه وانتى طيبه  يامديره واحه الاسلام وربنا ىزيدك نور ورفعه انتى والمنتدى بتاعك اتمنى لكم كل الخيرات واارفعه على الدوام ',pos
' اللهم بشرنا بشارة خير لم نتوقعها ولم نكن نحلم بها ورزقنا رزقاً لم نسألك اياه ولم يخطر ببالنا وجنباً شراً انت اعلم به منا ياحي ياقيوم ',pos
' @Abas68Said ياصباح الفل.. ',pos
' @meriem_Hd4  حد قالك انك واحدة وسخة بلوووك ',neg
' @Maroc_tiskat22 اة دة هدفك يعني من القصة انك تعملي فتنة صح متخافيش فانز سلوم وفانز بسوم واحد وياما عدت اشكال زي دي ومأثرتش فينا ',neg
"' ""\""""@3asheg1972: وكنتُ أزعم مثل الناس إذ زعموا .. بأن من غاب عني غاب عن بالي واليوم كذّبني قلبي وكذّبتهم .. فارقتهم..وأقاموا بين أوصالي\"""" '",neg
' @rowaf @Bahraini_ADV وان يرزقك خدمتها علي اكمل وجه ويكتب الله لك الثواب ',pos
' كنت بحب المذيعة دينا عصمت لما كانت على قناة النيل للأخبار و أون تي في. للأسف مستواها نزل على سي بي سي إكسترا. كانت قارئة نشرة ممتازة. ',neg
' انا خلاص قررت مش هذاكر حاجه غير ليلة الامتحان عشان كل مااذاكر حاجه انساها تاني ... كفايه تضييع وقت ف المذاكره بقي :/ ',neg
' كنت واقفة في البلكونة بدري كدة فلقيت عامل النظافة منضف الشارع يادوب طلع لأول الشارع ورجع تاني قام منضف تاني ولا هو #الاستهتار_اسلوب_حياه ',neg
' عيونها يتالف فيها اشعار ',pos
' سبحان الله وبحمده . http://t.co/bqDZM9LMUd ',neu
' أرموهم في أعماق البحار حتي تشتت الأمواج أشلائهم .. ',neg
' وأتارى المحاسبة غداره غداره . ',neg
' #عن الناس اللي عايشة عشان توجعك و بس ',neg
"' """"""وضوءك لصلاة الليل وصلاة الفجر ، مع شعورك بالبرد  هذه القشعريره كفيلة بنسف جبال الخطايا التي قد تحملها ♥"""""""" '",pos
' @3nTbly صباح الورد يا عنتبلي بيه ! ',pos
' حد هنا شغال في بنك QNB ',neu
' @Msraweya اه و الله تعبنا فشخ ',neg
' يحيى لس مكلمنى مصتقدش إنه لسه حى ممتش ',pos
' وجهة نظر برده ',neu
' &gt;.&lt;أصبح الوضع ﻻ يطاق ',neg
"' ""\""""@AymanNour: http://t.co/wF7BlZD1XD في أول تصريح له السبسي يطلب تفويضا من الشعب لمواجهة إرهاب محتمل!! (واضح أن الكتلوج واحد)\"""" '",neg
' #كيف_ننصر_ديننا 1-السير في طريق العلم 2-الدعوة إلى الله بما معك من العلم 3-إن لم تستطع فكن محباً للعلم وأهله @Betaqadaawia ',neu
' مشكله اااي #بت انها عايزه الواد #يهتم بيها ال24 ساعه حتي وهو #نايم #الرحمه_حلوه ',neg
' @nadamuhamed16 يا ريت كلهم زيك يا بنتي والله ',pos
' صباحووو ^_^ ',pos
"' ""#القرضاوي مهاجما #قطر: لا يحتفلون بالمولد النبوي ويحتفلون بـ\""""الكريسماس\""""  ماانت عايش في قطر من السينات لسه واخد بالك دلوقتي '",neg
' #الوطن  بالفيديو  #القرضاوي يهاجم #قطر: لا يحتفلون بالمولد النبوي ويعتبرونه بدعة  http://t.co/C7UK8dwc1V ',neu
' طريقك مسدود مسدود يا ولدى  *بصوت سعيد صالح* ',neg
' @EgyptianPolice0 طيب ياشرطة يامصرية في كتير اخوان في المصالح الحكومية وعاملين شغب والمديرين بتخاف منهم وبيعملوا فتن واجتماعات ',neg
' ده انا كنت ناسي والله ورجعني الحنين .... وتحت شباكك بيرميني الحنين :/ ',neg
' @AymanNour انقلاب اية ربنا يقلب مصرانكم ان شاء الله ',neg
' احا .. يعنى صاحى على بليز كول مى وقولنا ماشى انما ملاقيش علبه السجاير .. احا بجد دا انا شارب منها سجارة واحده بس ',neg
' السنة ملهاش دعوة بنجاحك وفشلك والحقيقة انك فاشل عشان انت خول وعلق مش عشان انت سئ الحظ او قوانين الطبيعة والزمن بيتامروا عليك صانع الساعات ',neg
"' """"""قال رسول الله ﷺ \""""لاتقولواللمنافق:سيدنا،فإنه إن يك سيدكم فقدأسخطتم ربكم-عزوجل-\"""". [الصحيحة:371]"""""""" '",neu
' يَا رب  أمنحني قلب مبتسمَ يُسعد ﻣن حولي وَ آغمرھہ بَ آلقوّھہ وَ آﻟصبر  حتى لآ ﻳضعف آمآم شيء  [ سوآك ].. صباح الخيرات http://t.co/NwSmaSaI1r ',pos
"' ""Mama said:\""""هتيجبي ملاحق يا هيدي \"""" '",neg
' @ameeallam الثانوية دى بتنمى الغباء ',neg
' لا تطلب من الله مالا تستطيع تأدية شكره أو تحمل عبئه .والا. فلما ءاتاهم من فضله بخلوا به...... فأعقبهم نفاقا في قلوبهم إلى يوم يلقونه ',neu
' مش ينفع تكون متعاطف او مؤمن بفكرا او رآي او شخص او حزب او كيان.. الخ وتقارنه بشبيه  ولكن متناقض مع الشئ دا.. لن تكون منصف بالمرا :-) ',neg
' وَلَسَوْفَ يُعْطِيكَ رَبُّكَ فَتَرْضَى ﴿٥﴾ أَلَمْ يَجِدْكَ يَتِيمًا فَآوَى ﴿٦﴾ وَوَجَدَكَ ضَالًّا فَهَدَى ﴿٧﴾وَوَجَدَكَ عَائِلًا فَأَغْنَى ',pos
' #المصدر  #الروبل_الروسي يتراجع 0.7 \% أمام الدولار  للمزيد :http://t.co/eQntVOB4uc http://t.co/RDHwJ6kxdO ',neu
"' ""#المصدر  \""""#برنت \""""يتراجع باتجاه 61 دولارا للبرميل في التعاملات الاسيوية  للتفاصيل :http://t.co/HspdXCeuhw '",neu
' @LonaloloLona ♥ ♡مساااااااء_الخيراااااات♡♥ ',pos
' قم بتجهيز ملعب #نجيل_صناعي كامل متكامل مع #بيبا_سبورت بأقل سعر وضمان 8 سنوات http://t.co/zvM0NiRvqx 01027399960 - 01027399962 ',neu
' فؤاد المهندس و شويكار ! ',pos
' موديول منحس من اوله ',neg
"' ""\""""@JassmineHady: لك الحمد ربي عدد خلايا أجسادنا المتعافيه وعدد أيامنا التي لا نشكوا فيها وعدد نعمك التي لا نحصيها  #الحمدلله\"""" '",pos
' حفظ الله مصر http://t.co/mz6YSoxpRn ',pos
"' """"""شكراً لأنك في حياتي ، شكراً لأنك حياتي  صباح الحب ❤"""""""" '",pos
' الملل بالنسبالى اشبه بالموت ',neg
' وتعيش يا جيش بلادى http://t.co/U1BVnYvvVO ',pos
' علبه كشرى وسط ب 6 جنيه !!!! يعنى لو اربع افراد ب 24 جنيه !!! بلد مفيش متها امل .. ',neg
' اصاله دى حاله جميله ',pos
' @Q55665 اريد عمل اناسائق ',neu
' سأبتسم في وجه من يكرهني فان لم أكسب محبته سأنجح في فقع مرارته  #تمثلنى وبشده ',neu
' @lolo00o3 @yazn200077 هما بقوا بيتكلموا مع بعض شكل دعاء اصلا متعرفش ايه اللى حصل وهى بره مشفتش حاجه #DoaaElSebaii #StaracArabia ',neu
' @StaracArabia @Mohammad_Cha 222222222222222222222222222222222222 اللقب لا يليق الا بك يا شاهينووووووووو ',pos
' @MawlaNa92 يسطى تمام مفشوخ ف شوية امتحانات عملي و خرا اهم حاجه تكون مبسوط ياسطا ',neg
' @sarahesham3 والله كدابين ما انا ميزان اهو ',neg
' @sso2166 السلام عليكم ورحمة الله وبركاته اهﻻ وسهﻻ شرفت بمتابعتك ',pos
' أحا أحوه كس أم حسام وأخوه ',neg
' الاهلى ♥ ',pos
"' ""#الوطن  غادة عبدالرازق تنشر صورتها بـ\""""اتحاد الطلبة\"""" وناشط: مربية أجيال وأجيال  http://t.co/CyGfw7KbXU http://t.co/t1jsF4uF6L '",neu
' الحمد لله على نعمه المناخير الصغيره ',pos
' @saraaser2 حساب شيرين يحيى http://t.co/POngJqePzD  http://t.co/7zs1QR5eyi  http://t.co/p696ECH0wx … … #ShereenYehia #StaracArabia ',neu
' الدكاترة desgin نفسى افهم انا شغال معاك من اول الترم و طالع عين اهلى تيجى بت اخر الترم تنزلك دمعتين تحطلها مشروع تقديره امتياز ! #قسم_ دراما ',neg
' @na7lat ربنا يخليهولك ويسعدكوا ',pos
' @nassersaly @nohasamah1 الله واكبر على رنوووشتنا ربنا يكتر من لقاءتك يارنا اخنا مابنشبع منك ابدا وربنا يوفقك يارب وتكون البر مطربة فى الوطن ',pos
"' ""أنا نفسي مرة أجرب أكون ليك حد أقرب :\"""") '",neg
' انت موجود في خيالي اكتر مانت موجود في الواقع ',neg
' @YasminMahfouz انها حبوب منع الفهم ',neg
' والله كنت ناوي اذاكر بس واضح ان مفيش نصيب. ',neg
' هلا http://t.co/VJUTCLUkXY ',pos
' @ranasamaha9t كل سنه وليبيا بخير ',pos
' مش كفاية اسمك عجيب و كمان عامل الشكل دا #ايساف &lt;&lt;&lt; #اسفاف http://t.co/LIJdwhj0PK ',neg
' محاسب يحاول الانتحار بإلقاء نفسه أمام المترو لعجز مليون جنيه بعهدته    http://t.co/17SJpac1KI ',neu
' فى يوم. هنعود دا بنا وعود وف غيابو اكيد لسة الامل موجود ',pos
"' """"""@Fadyxplod ما عربى بيطلع عنيهم بردو :\"""""""""""" '",neg
' اضحك والضحكة تبقى ضحكيتين واتنين ف اتنين فى اتنين ',pos
' @KHIRY97 هههههههههههههههههههههه صح والله ',pos
' @Ahmed_abualy وانت بالف خير  ميرسى يا احمد ',pos
' #StaracArabia واحلي تحيه لاولاد بلدي اجمد ناس المصريين وصحابهم اللبنانين طبعا حد هيسال وكنوزه  مقلتش كنزه لان حسبتها كمصريه لانها بنتنا كمان ',pos
' ال كان بيبعتلك ويسال عليك  بعد فترة لما يشوف رسالتك وميردش عليك معناه ان الشخص ده معرفه وسخه من الاول ',neg
' @hussein_kabalo بس يا زملكاوي يا عرص ',neg
' #MinaAtta  فانز مينا ليه كل مسابقه فيها تصويت نايمين فيها صوتوا لمينا هنا بقا http://t.co/cxUrwACacI ',neg
' رنوشتي ايه رايك ف صورتك مع فكتور نفس صور الحفله بس مش عارفه انتي بتبقي زعلانه كده @ranasamaha9t http://t.co/IDNSyM8lYF ',neg
' تشكيل الأهلى : مسعد عوض شريف عبدالفضيل سعد شريف حازم لؤى وائل غالى رزق السعيد سليمان تريزجيه متعب ',neu
' لو كل واحد يخليه فحالة بس! ',neg
' عامة الطريق كمان كان واقف واقفه طين و لسه داخل زايد اهو..يوم لاتيف ',neg
' جاريدو بيهرج والله ',neg
' أيمن يونس ده رغاي فشخ وحورتجي ',neg
' باعو قصر البارون ب6مليون جنيه  وده تمن حته  ارض في اوسخ حته في مصر  قالك عصر مبارك 30سنه سبب الخراب اخرص ياعرص ',neg
' حفل نانسي غدا #مصر فى جاردن سيتي فندق InterContinental Cairo Semiramis ... @NancyAjram https://t.co/LYYmKCj62a http://t.co/BJN46WPQ6d ',neu
' فورد توورس من #بوابة_المصدر شاهد الاعلان بالكامل من هنا http://t.co/ClLZBNGS7r   2 http://t.co/qxhE9c9Pcv ',neu
' انصرنا انصرنا يارب انصرنااااا ',pos
' بنكدب لما نتكلم عشان عارفين لو اتكلمنا جد هنفترق بعدين ',neg
' دماغي اللي شغالة 24 ساعة ',neu
' @Hebah20Hh @horra1234  لا ده عشان عيونك حلوه فشافت الصور جميله ',pos
' و السلام عليك ورحمة الله وبركاتة  وجووووووووول للاتحاد =D ',pos
' استر يارب من أولها بركاتك يا ابن الفقريه . ',neg
' ما تسترجل يا ابن بت المرة الخول انت وهو ',neg
' مبقتش بعترف بكلمه انا اسف ديه ',neg
' الكلاكس  آلة تنبيه ٠٠لكن فى مصر٠٠ آلة ازعاج  ياريت ينزع من السيارات ولو لمدة ستة أشهر  لان عدم وجوده بالسيارة يجبر قائدها على السير بادب ',neg
' ياارب يا عالي انصر #الاهلي الغالي ',pos
' حبيبى انا لك وبين يديك  إدخلنى بين ضلوعك ضمنى بقوة اعتصر  ضلوعى ونبضى   يحضن نبضك ',pos
' يا غالي متطلعش دين أبونا ',neg
' يا قبلتي في صلاتي إذا وقفتُ أصلي ❤ ',pos
' 2-1من الرجاء 0-0من الاسيوطي 0-0من الإسماعيلي 0-0من وادي دجلة ودلوقتي 1-0من الاتحاد.. الأهلي مش فوق الجميع الأهلي فوق بتاع أندية الدوري ',neg
' @MahmoudSamyo والله وانا لة فاكر ماتش الكأس مع الرجاء اللى كسبانه بالعافيه قولت دة فاشل ',neg
' أقسم بالله نادي ابن وسخه كل ما يبقوا خسرانين ولا متعادلين الفرقه كلها تنط ف ال18 علشان تاخد ضربة جزاء حاجة قرف ',neg
' العب يا اخضر ',pos
' التصوير و الاخراج في الماتش بتاع الاهلي زفت اوي ',neg
' انا استحمل أي حاجه بس حسام حسن ميكسبش الأهلي ',neg
' يا ولاد المحظوظه كوره زي دي تتلعب بالشكل ده وتيجي فى العارضه كسم الحظ وتترد بكوره زي دي وتطلع بره فى حظ فى الدنيا كدا ؟ ',neg
' @nour_el_din_ حاجة وسخه.. هارميه فعلا لاني زهقت!! ',neg
' عائله ناظم بيك http://t.co/4zijiZ4jLv ',neu
' عععععههههههههههه التاني ل الاتحاد ههههههههههههههه هههههههههههههههه ',pos
' ايه المعلق إبن الكلاب ده ؟! ',neg
' @NadaAhmed10022 @AhmedSamy012 توء توء ',neu
' @lolaelamrawy عته والله ',neg
' بدات الحن النشيد ',neu
' احاااااا .. شريف حازم جاله شد .. قام حاسبله فاول ',neg
"' """"""هذه هي بعض الثوابت التي يجدر بِنَا التعلق بها في زمن الفتن والمحن والتقلبات، فهي من قول الله، وهي من وعد الله، ولا يخلف الله الميعاد."""""""" '",neu
' بكره الأتحاد بكرهووووووو ',neg
"' """"""لو مشينا بمدأ ربنا بيوقع الناس اللى شبه بعض أو بيكملوا بعض ، مش هلاقى حاجه من دول تتحط جنبى غير شبهى وهنطلع عين بعض ، ففاكس ما تعملش كدا"""""""" '",neu
' لا أُريد المُستَحيل فقط اريدكِ انتِى ثُم قَلبك ثٌم حُضنك وكفى http://t.co/9d9I0X8XcU ',pos
' @Ladynanooos @Hazem__Azim @eelsehabi الحمدلله الذى كشف عن مصر الغمة وأنقذها منذ هذه العصابات ',pos
' @nanaok1234 @mona123m98 لا موجود يا شقيقتى ',neu
' عامهً خسر تريزيجيه هجومياً وكمان كفةئته دفاعياً قليله ',neg
' انا سـآكـنة ف ألآسكًـآ :/ ',neg
' مَا كَانَ قَلْبِى فِي مَـدِيحِكَ يَشْتَفِي  أَوْ يَكْتَـفِى بِفَصَاحَةِ البُلَغَـاءِ ',pos
' ليه يا عم جاريدوا حتشمت فينا ولاد ال**** البوابين ',neg
